,hex9,value
191,891f1652e6bffff,784.8617
192,891f1652e6fffff,566.1784
193,891f1652a9bffff,388.4646
194,891f1652e63ffff,277.3282
195,891f1652e67ffff,175.70935
196,891f1652a93ffff,168.00577
197,891f1652e73ffff,350.05844
198,891f1652e77ffff,246.8342
199,891f1652e2bffff,490.78915
200,891f1652e2fffff,625.94025
201,891f165284fffff,1361.0558
202,891f165287bffff,1253.0323
203,891f165285bffff,879.51196
204,891f1652843ffff,1406.8746
205,891f1652847ffff,1640.8
206,891f1652873ffff,1249.519
207,891f1652e27ffff,802.07184
208,891f1652853ffff,1354.1985
209,891f1652857ffff,1508.9453
210,891f165280bffff,1528.7754
211,891f1652e0fffff,233.54216
212,891f1652e3bffff,413.9105
213,891f1652e23ffff,679.42255
214,891f1652e03ffff,340.08023
215,891f1652e07ffff,166.05473
216,891f1652e33ffff,279.53284
217,891f1652e37ffff,407.59793
218,891f1652e17ffff,586.4747
219,891f1652eabffff,409.388
220,891f1652eafffff,154.2062
221,891f1652ecbffff,1010.4022
222,891f1652ecfffff,798.7563
223,891f1652e1bffff,559.40283
224,891f1652ec3ffff,1292.0288
225,891f1652ec7ffff,1075.7833
226,891f1652e13ffff,825.0231
227,891f1652ed7ffff,1538.518
228,891f1652e8bffff,1289.5387
229,891f1652e8fffff,1069.9883
230,891f165216fffff,2019.3132
231,891f1652bc3ffff,104.81952
232,891f1652bc7ffff,476.39188
233,891f1652b13ffff,725.6826
234,891f1652b37ffff,1079.8119
235,891f16576cbffff,1188.3264
236,891f16576cfffff,986.9613
237,891f16576dbffff,1166.7047
238,891f1652bd3ffff,469.28638
239,891f1652bd7ffff,134.9187
240,891f1652b8bffff,531.57745
241,891f165286bffff,828.77
242,891f165286fffff,347.84467
243,891f1652b9bffff,150.6334
244,891f1652b83ffff,562.9933
245,891f1652863ffff,813.05145
246,891f1652867ffff,376.38638
247,891f1652b93ffff,181.32715
248,891f16576c3ffff,778.4968
249,891f16576c7ffff,455.38126
250,891f1652ba7ffff,1098.4521
251,891f16576d3ffff,669.25525
252,891f16576d7ffff,249.98817
253,891f165768bffff,138.31792
254,891f165296bffff,581.71765
255,891f165296fffff,172.66484
256,891f165769bffff,262.76477
257,891f165297bffff,546.1382
258,891f1652b8fffff,964.04816
259,891f1652bbbffff,1334.781
260,891f1652ba3ffff,1487.656
261,891f1652b87ffff,1040.1332
262,891f1652bb3ffff,1381.0077
263,891f1652bb7ffff,1029.1826
264,891f1652b97ffff,616.97076
265,891f165294bffff,1081.8906
266,891f165294fffff,1025.9233
267,891f165295bffff,623.9257
268,891f1652877ffff,766.71844
269,891f165282bffff,294.62006
270,891f165282fffff,209.75517
271,891f165280fffff,1185.4412
272,891f165283bffff,714.8094
273,891f1652823ffff,275.99557
274,891f1652827ffff,298.9154
275,891f1652807ffff,1122.5486
276,891f1652833ffff,703.2701
277,891f1652837ffff,443.52878
278,891f1652963ffff,136.24377
279,891f1652967ffff,380.65427
280,891f1657693ffff,665.7654
281,891f1652973ffff,148.7196
282,891f1652977ffff,377.90884
