,hex9,value
199,891f16005c7ffff,10.0562525
200,891f16005cbffff,2.55841
201,891f16005cfffff,2.7099166
202,891f16005d3ffff,3.7520092
203,891f16005d7ffff,8.193143
204,891f16005dbffff,7.6955695
205,891f1600603ffff,39.011707
206,891f1600607ffff,28.108988
207,891f160060bffff,44.10936
208,891f160060fffff,33.85248
209,891f1600613ffff,45.499123
210,891f1600617ffff,34.85989
211,891f160061bffff,49.678116
212,891f1600623ffff,11.405001
213,891f1600627ffff,2.715342
214,891f160062bffff,18.383663
215,891f160062fffff,8.050975
216,891f1600633ffff,18.051493
217,891f1600637ffff,8.858394
218,891f160063bffff,21.945158
219,891f1600643ffff,57.797302
220,891f1600647ffff,48.767742
221,891f160064bffff,60.158775
222,891f160064fffff,50.782364
223,891f1600653ffff,66.002625
224,891f1600657ffff,53.895527
225,891f160065bffff,68.239365
226,891f1600663ffff,30.718088
227,891f1600667ffff,20.999205
228,891f160066bffff,31.342777
229,891f160066fffff,22.373167
230,891f1600673ffff,38.75476
231,891f1600677ffff,28.855343
232,891f160067bffff,39.60471
233,891f1600683ffff,43.911724
234,891f1600687ffff,33.200348
235,891f160068bffff,50.060818
236,891f160068fffff,38.741035
237,891f1600693ffff,45.245117
238,891f1600697ffff,36.106106
239,891f160069bffff,54.324924
240,891f16006a3ffff,16.950888
241,891f16006a7ffff,6.532943
242,891f16006abffff,24.76154
243,891f16006afffff,14.824862
244,891f16006b3ffff,22.478651
245,891f16006b7ffff,11.698008
246,891f16006bbffff,28.015205
247,891f16006c3ffff,67.17869
248,891f16006c7ffff,57.58064
249,891f16006cbffff,71.61829
250,891f16006cfffff,60.34544
251,891f16006d3ffff,72.74496
252,891f16006d7ffff,60.700584
253,891f16006dbffff,77.59154
254,891f1601003ffff,89.388374
255,891f1601007ffff,80.15053
256,891f160100bffff,98.593376
257,891f160100fffff,87.29863
258,891f1601013ffff,91.86091
259,891f1601017ffff,81.567375
260,891f160101bffff,100.19
261,891f1601023ffff,71.48749
262,891f1601027ffff,62.14585
263,891f160102bffff,80.28774
264,891f160102fffff,70.85535
265,891f1601033ffff,70.20009
266,891f1601037ffff,60.152435
267,891f160103bffff,79.93615
268,891f1601043ffff,101.37752
269,891f1601047ffff,103.48044
270,891f160104bffff,92.45072
271,891f160104fffff,95.59665
272,891f1601053ffff,106.8983
273,891f1601057ffff,103.46497
274,891f160105bffff,99.916275
275,891f1601063ffff,97.840324
276,891f1601067ffff,84.12924
277,891f160106bffff,95.57592
278,891f160106fffff,89.58028
279,891f1601073ffff,99.7404
280,891f1601077ffff,88.09158
281,891f160107bffff,100.82069
282,891f1601083ffff,88.16155
283,891f1601087ffff,79.81277
284,891f160108bffff,95.03938
285,891f160108fffff,84.217
286,891f1601093ffff,92.1104
287,891f1601097ffff,81.394226
