,hex9,value,color
0,891fa492423ffff,40214463,[252, 146, 101]
1,89196960437ffff,40877664,[252, 144, 100]
2,89196b84d93ffff,5499743,[244, 104, 91]
3,89196ba1983ffff,5785684,[241, 97, 92]
4,89196b05d4bffff,62464707,[235, 86, 96]
5,89196ba0a23ffff,53362656,[246, 110, 91]
6,8919696334bffff,6944387,[222, 74, 103]
7,89196bb510bffff,70066367,[221, 73, 104]
8,89196bada23ffff,63407495,[234, 85, 96]
9,8919694f4b3ffff,67585127,[226, 77, 101]
10,89196ba041bffff,61054585,[237, 89, 95]
11,8919694a483ffff,65723804,[229, 80, 99]
12,89196ba8507ffff,6764915,[225, 76, 102]
13,89196bb52c7ffff,6062257,[238, 91, 94]
14,89196bb0943ffff,62883525,[235, 86, 96]
15,89196979023ffff,53627153,[245, 108, 91]
16,8919682dd27ffff,22326826,[254, 196, 136]
17,89196ba6a8bffff,360609,[253, 157, 107]
18,89196949057ffff,41002065,[252, 144, 100]
19,89196949987ffff,52371924,[246, 112, 91]
20,89196ba242fffff,6118399,[237, 89, 95]
21,8919696b5b7ffff,57938877,[241, 97, 92]
22,8919694e4cfffff,6197464,[236, 88, 95]
23,8919682ca8fffff,63569316,[234, 85, 96]
24,89196bace67ffff,559442,[243, 103, 91]
25,89196ba14abffff,25666384,[254, 187, 128]
26,8919694ab03ffff,26588843,[254, 185, 127]
27,89196979d67ffff,28856782,[254, 177, 121]
28,89196bb6543ffff,21920825,[254, 196, 136]
29,89196bab147ffff,21835698,[254, 198, 137]
30,89196940c73ffff,19133822,[253, 205, 144]
31,89196b326c7ffff,33000374,[254, 166, 113]
32,89196968a8bffff,3512008,[253, 161, 110]
33,89196baa5afffff,35820667,[253, 159, 108]
34,8919694a1bbffff,37981843,[253, 153, 105]
35,8919694f5cbffff,2773862,[254, 181, 124]
36,89196bb5c37ffff,30112268,[254, 174, 118]
37,89196bb7237ffff,31673384,[254, 170, 116]
38,89196ba898bffff,16407177,[253, 212, 151]
39,89196bb8203ffff,2156518,[254, 198, 137]
40,891969692a7ffff,16848724,[253, 210, 149]
41,89196ba9907ffff,20838237,[254, 199, 139]
42,89196baeadbffff,12734398,[253, 221, 159]
43,8919694e653ffff,18191707,[253, 207, 146]
44,89196949ba3ffff,12086086,[253, 223, 161]
45,8919694801bffff,31885342,[254, 170, 116]
