,hex9,Value
191,891f161b1cbffff,1094.3284
192,891f161b1cfffff,1050.7297
193,891f161b1d3ffff,807.6948
194,891f161b1d7ffff,900.8736
195,891f161b1dbffff,1039.7047
196,891f161b227ffff,2054.726
197,891f161b237ffff,2079.3772
198,891f161b287ffff,2724.6938
199,891f161b293ffff,3259.9373
200,891f161b297ffff,3046.1262
201,891f161b2a3ffff,2285.2087
202,891f161b2a7ffff,1954.351
203,891f161b2afffff,2158.0496
204,891f161b2b3ffff,2425.0894
205,891f161b2b7ffff,2130.856
206,891f161b2bbffff,2490.959
207,891f161b303ffff,1086.6492
208,891f161b30bffff,1339.7113
209,891f161b30fffff,1280.6107
210,891f161b313ffff,1002.16455
211,891f161b317ffff,797.5377
212,891f161b31bffff,1303.3054
213,891f161b343ffff,1942.2345
214,891f161b347ffff,1791.5284
215,891f161b34bffff,2154.4995
216,891f161b34fffff,2002.6437
217,891f161b353ffff,1852.2755
218,891f161b357ffff,1615.7393
219,891f161b35bffff,2102.779
220,891f161b363ffff,1748.5276
221,891f161b36bffff,1872.6436
222,891f161b373ffff,1412.9138
223,891f161b37bffff,1903.8693
224,891f161b383ffff,774.7821
225,891f161b387ffff,473.0334
226,891f161b38bffff,1014.0995
227,891f161b38fffff,763.1845
228,891f161b393ffff,950.29285
229,891f161b397ffff,639.1173
230,891f161b39bffff,1114.2281
231,891f161b3a3ffff,258.32642
232,891f161b3a7ffff,404.03763
233,891f161b3b3ffff,101.78049
234,891f161b3b7ffff,247.82097
235,891f161b3c3ffff,1612.4363
236,891f161b3c7ffff,1285.2115
237,891f161b3cbffff,1874.9677
238,891f161b3cfffff,1587.77
239,891f161b3d3ffff,1661.0996
240,891f161b3d7ffff,1336.2537
241,891f161b3dbffff,1911.5098
242,891f161b427ffff,1125.2709
243,891f161b42fffff,1250.0382
244,891f161b463ffff,2211.563
245,891f161b467ffff,2024.7812
246,891f161b473ffff,2264.5679
247,891f161b477ffff,2074.445
248,891f161b503ffff,549.4931
249,891f161b507ffff,624.9791
250,891f161b50bffff,336.73373
251,891f161b50fffff,327.63043
252,891f161b513ffff,797.0551
253,891f161b517ffff,746.7274
254,891f161b51bffff,635.2142
255,891f161b523ffff,852.1257
256,891f161b527ffff,1031.1663
257,891f161b52bffff,636.1359
258,891f161b52fffff,1012.8169
259,891f161b533ffff,779.5284
260,891f161b53bffff,697.16516
261,891f161b543ffff,706.3362
262,891f161b547ffff,376.1202
263,891f161b54bffff,934.3259
264,891f161b54fffff,621.7309
265,891f161b553ffff,892.33466
266,891f161b557ffff,584.324
267,891f161b55bffff,1043.659
268,891f161b563ffff,304.74286
269,891f161b567ffff,531.10736
270,891f161b56bffff,544.30634
271,891f161b56fffff,598.4495
272,891f161b573ffff,120.5765
273,891f161b577ffff,246.08534
274,891f161b57bffff,355.6007
275,891f161b58bffff,992.5842
276,891f161b5c7ffff,874.1523
277,891f161b5cbffff,999.1187
278,891f161b5cfffff,837.2503
279,891f161b623ffff,3228.2688
280,891f161b627ffff,2913.573
281,891f161b62bffff,3391.3794
282,891f161b62fffff,3089.9436
283,891f161b633ffff,3285.7136
284,891f161b667ffff,3466.561
