,hex8,Value,lat,lng,suitability
2158,881f16cda5fffff,0.9247304,52.21026338638769,6.567468282722857,92.5
2159,881f16cda7fffff,0.85685843,52.209316175884354,6.579959890847481,85.7
2160,881f16cda9fffff,0.87445486,52.22317924230694,6.572581762510006,87.4
2161,881f16cdabfffff,0.9322551,52.222232142339344,6.585076115864291,93.2
2162,881f16cdadfffff,0.8593792,52.21719465334925,6.563778480467075,85.9
2163,881f16cdb1fffff,0.9098185,52.22033373146438,6.610066553929737,91.0
2164,881f16cdb3fffff,0.8404522,52.21938242010288,6.622562636343599,84.0
2165,881f16cdb5fffff,0.79050696,52.21435108261269,6.601258288022456,79.1
2166,881f16cdb7fffff,0.8607843,52.21340041858349,6.613752710535814,86.1
2167,881f16cdb9fffff,0.91678137,52.22726606301931,6.60637970708842,91.7
2168,881f16cdbbfffff,0.8307501,52.226315508296665,6.618876874736549,83.1
2169,881f16cdbdfffff,0.91141766,52.2212836388009,6.597571046720342,91.1
2170,881f16cdc1fffff,0.76241004,52.24994952518839,6.570315908033423,76.2
2171,881f16cdc3fffff,0.8562862,52.24900404911572,6.5828151766894045,85.6
2172,881f16cdc5fffff,0.8109777,52.24396648101584,6.561509390953083,81.1
2173,881f16cdc7fffff,0.8364958,52.24302165185978,6.574006996166299,83.6
2174,881f16cdc9fffff,0.83473796,52.25687641678935,6.5666241288447775,83.5
2175,881f16cdcbfffff,0.8000854,52.25593169766847,6.579124482159171,80.0
2176,881f16cdcdfffff,0.7749005,52.250893597339086,6.557817218700839,77.5
2177,881f16cdd1fffff,0.81551194,52.25403804648637,6.604126923526761,81.6
2178,881f16cdd3fffff,0.8234471,52.25308911397009,6.616629009279411,82.3
2179,881f16cdd5fffff,0.870489,52.24805716889329,6.595315023519364,87.0
2180,881f16cdd7fffff,0.894195,52.24710888429348,6.607815447373384,89.4
2181,881f16cdd9fffff,0.75292766,52.26096622697103,6.600437708711464,75.3
2182,881f16cddbfffff,0.75787556,52.2600180511771,6.6129408805727605,75.8
2183,881f16cdddfffff,0.8121964,52.254985574310055,6.591625414103199,81.2
2184,881f16cde1fffff,0.7901182,52.231054243050096,6.556396804575647,79.0
2185,881f16cde3fffff,0.86218536,52.23010930341659,6.568891662694384,86.2
2186,881f16cde5fffff,0.74941814,52.225069232440006,6.547594792899301,74.9
2187,881f16cde7fffff,0.80179197,52.224124938931205,6.560087987805738,80.2
2188,881f16cde9fffff,0.7985658,52.237982565622616,6.5527049306136576,79.9
2189,881f16cdebfffff,0.8391478,52.23703838301397,6.565200872229827,83.9
2190,881f16cdedfffff,0.7318148,52.231997779480544,6.543902526710392,73.2
