,hex9,Value
196,891f161b227ffff,24.669147
197,891f161b237ffff,28.97692
198,891f161b287ffff,21.870407
199,891f161b293ffff,47.12457
200,891f161b297ffff,72.232574
201,891f161b2a3ffff,126.05366
202,891f161b2a7ffff,120.15364
203,891f161b2afffff,39.276608
204,891f161b2b3ffff,120.33233
205,891f161b2b7ffff,85.548996
206,891f161b2bbffff,431.07745
207,891f161b303ffff,90.91156
208,891f161b30bffff,204.89426
209,891f161b30fffff,179.05664
210,891f161b313ffff,293.70807
211,891f161b317ffff,93.69622
212,891f161b31bffff,109.37971
213,891f161b343ffff,153.87749
214,891f161b347ffff,79.766014
215,891f161b34bffff,33.65756
216,891f161b34fffff,123.24536
217,891f161b353ffff,199.52586
218,891f161b357ffff,215.80954
219,891f161b35bffff,26.620338
220,891f161b363ffff,80.36556
221,891f161b36bffff,186.07967
222,891f161b373ffff,313.1903
223,891f161b37bffff,82.30896
224,891f161b383ffff,586.3861
225,891f161b387ffff,245.77376
226,891f161b38bffff,557.4927
227,891f161b38fffff,374.4979
228,891f161b393ffff,606.9987
229,891f161b397ffff,259.45203
230,891f161b39bffff,636.6268
231,891f161b3a3ffff,68.441795
232,891f161b3a7ffff,131.5043
233,891f161b3b3ffff,122.70492
234,891f161b3b7ffff,301.22617
235,891f161b3c3ffff,79.4216
236,891f161b3c7ffff,256.25043
237,891f161b3cbffff,156.85504
238,891f161b3cfffff,142.58801
239,891f161b3d3ffff,101.83534
240,891f161b3d7ffff,319.1777
241,891f161b3dbffff,153.09027
242,891f161b427ffff,297.87515
243,891f161b42fffff,73.79484
244,891f161b463ffff,1511.407
245,891f161b467ffff,1429.2565
246,891f161b473ffff,1694.1409
247,891f161b477ffff,1111.462
248,891f161b503ffff,358.35666
249,891f161b507ffff,152.24692
250,891f161b50bffff,317.5217
251,891f161b50fffff,98.253174
252,891f161b513ffff,643.598
253,891f161b517ffff,413.54105
254,891f161b51bffff,594.36597
255,891f161b523ffff,459.37277
256,891f161b527ffff,713.28815
257,891f161b52bffff,253.7274
258,891f161b52fffff,636.0962
259,891f161b533ffff,76.28645
260,891f161b53bffff,129.69115
261,891f161b543ffff,477.33383
262,891f161b547ffff,298.74295
263,891f161b54bffff,224.14232
264,891f161b54fffff,272.29123
265,891f161b553ffff,609.3878
266,891f161b557ffff,587.6038
267,891f161b55bffff,243.73146
268,891f161b563ffff,220.69487
269,891f161b567ffff,78.607254
270,891f161b56bffff,296.50232
271,891f161b56fffff,321.46796
272,891f161b573ffff,90.628784
273,891f161b577ffff,66.82918
274,891f161b57bffff,72.715416
275,891f161b58bffff,875.0708
276,891f161b5c7ffff,816.76215
277,891f161b5cbffff,835.4276
278,891f161b5cfffff,844.6816
279,891f161b623ffff,94.11575
280,891f161b627ffff,90.03452
281,891f161b62bffff,35.1759
282,891f161b62fffff,24.89667
283,891f161b633ffff,142.91643
284,891f161b667ffff,22.021706
