,hex8,Value,lat,lng
0,881f160001fffff,0.6279465,52.34008345486254,7.038924728207197
1,881f160003fffff,0.40711963,52.3390917126894,7.051468808295792
2,881f160005fffff,0.7383352,52.33413283413881,7.0300394212904775
3,881f160007fffff,0.5458861,52.333141753391985,7.04258185805062
4,881f160009fffff,0.6777656,52.34702417454018,7.035266907940836
5,881f16000bfffff,0.452828,52.34603318610771,7.047812093801625
6,881f16000dfffff,0.76426613,52.34107378181227,7.026381186215349
7,881f160019fffff,0.21367069,52.35098896127711,7.0692488845699835
8,881f16001dfffff,0.33834824,52.34504078214119,7.060357817039838
9,881f160021fffff,0.8053961,52.32123916714159,7.0248141319064485
10,881f160023fffff,0.7187501,52.32024799363678,7.03735382055972
11,881f160025fffff,0.8617437,52.31528654112942,7.015933355431647
12,881f160027fffff,0.79004115,52.314296028260365,7.028471400940248
13,881f160029fffff,0.78337634,52.32818132440686,7.021156172763477
14,881f16002bfffff,0.70808005,52.327190904719245,7.0336969660167545
15,881f16002dfffff,0.8612962,52.322228926137086,7.012274982337877
16,881f160035fffff,0.6720461,52.31925540540472,7.049894047131168
17,881f160039fffff,0.51752514,52.33214925751453,7.055124832458784
18,881f16003dfffff,0.64506596,52.32619907021164,7.0462382976367435
19,881f160041fffff,0.8236694,52.35495273158873,7.019062644355887
20,881f160043fffff,0.69960564,52.353963912341925,7.031608397085794
21,881f160045fffff,0.9028522,52.349001905674996,7.0101781530242055
22,881f160047fffff,0.81497866,52.34801374765654,7.022722260625708
23,881f160049fffff,0.8522808,52.36189073352601,7.015402337240143
24,881f16004bfffff,0.73796827,52.36090266818489,7.027949195476285
25,881f16004dfffff,0.92239153,52.355940135645156,7.006517431789021
26,881f160051fffff,0.4592536,52.35892229078058,7.053044529112342
27,881f160053fffff,0.34420493,52.357929978281256,7.0655930021743165
28,881f160055fffff,0.5345412,52.35297367768638,7.0441546888105115
29,881f160057fffff,0.36465704,52.351982027404006,7.056701518361515
30,881f160059fffff,0.5806593,52.36586157218803,7.049386849126461
31,881f16005bfffff,0.41989255,52.364870013352615,7.061936429134049
32,881f16005dfffff,0.60890657,52.359913187342485,7.040496593156629
33,881f160061fffff,0.8273381,52.33611075111251,7.00495616538372
34,881f160063fffff,0.7814034,52.33512249997292,7.017497523345823
35,881f160065fffff,0.8090941,52.33015792019454,6.9960762060240995
36,881f160067fffff,0.8222577,52.3291703294925,7.008615919043724
37,881f160069fffff,0.8688698,52.34305019091399,7.00129572119231
38,881f16006bfffff,0.84795886,52.342062693756645,7.013838183487918
39,881f16006dfffff,0.77891046,52.33709758777607,6.992415348571012
40,881f160101fffff,0.79976714,52.29841045708937,6.9767707958752005
41,881f160103fffff,0.8151037,52.297423337190935,6.989303368936
42,881f160105fffff,0.70757306,52.292453623188194,6.967899891623506
43,881f160107fffff,0.73844063,52.29146716214609,6.980430820117615
44,881f160109fffff,0.84906477,52.30535277056925,6.973110081730634
45,881f16010bfffff,0.86594135,52.304366404805464,6.985643756783024
46,881f16010dfffff,0.8031466,52.29939616394077,6.9642387659290685
47,881f160111fffff,0.8345586,52.30238943298476,7.010712732922339
48,881f160113fffff,0.7688191,52.30139882649085,7.023248031679793
49,881f160115fffff,0.80324286,52.29643480402669,7.0018364839475025
50,881f160117fffff,0.76301533,52.29544485737811,7.014370139745349
51,881f160119fffff,0.888207,52.30933302715323,7.007054636304048
52,881f16011bfffff,0.8248782,52.30834317455285,7.019591038490475
53,881f16011dfffff,0.878458,52.303378625683536,6.998177974235121
54,881f160121fffff,0.6471579,52.2795521542825,6.962691890765384
