,hex7,Value,lat,lng
0,871f16000ffffff,0.63648766,52.34008345486254,7.038924728207197
1,871f16001ffffff,0.27783155,52.34404696242309,7.072904076486926
2,871f16002ffffff,0.80860686,52.32123916714159,7.0248141319064485
3,871f16003ffffff,0.61533165,52.325205820666234,7.0587801664562155
4,871f16004ffffff,0.8174712,52.35495273158873,7.0190626443558966
5,871f16005ffffff,0.47798005,52.35892229078058,7.053044529112342
6,871f16006ffffff,0.82067883,52.33611075111251,7.00495616538372
7,871f16010ffffff,0.8002843,52.29841045708937,6.9767707958752005
8,871f16011ffffff,0.8168427,52.302389432984775,7.010712732922336
9,871f16012ffffff,0.6592592,52.2795521542825,6.962691890765384
10,871f16013ffffff,0.68581504,52.283534257763975,6.996620523972234
11,871f16014ffffff,0.85526353,52.313278300863956,6.956914444397746
12,871f16015ffffff,0.9149931,52.31726332449017,6.99085888498657
13,871f16016ffffff,0.68031895,52.29442230728434,6.942839667285631
14,871f1601affffff,0.7029306,52.27261658571664,7.050400532115059
15,871f1601cffffff,0.7379544,52.30635922681644,7.044665459758052
16,871f1601effffff,0.6730624,52.287507186245,7.030559949111293
17,871f16020ffffff,0.80089164,52.38864787031645,7.013305478177763
18,871f16021ffffff,0.6659248,52.392620332656456,7.047303227207437
19,871f16022ffffff,0.90856993,52.36981364940995,6.999193916341431
20,871f16023ffffff,0.81443936,52.37378926055604,7.03317832919733
21,871f16024ffffff,0.7853822,52.40349811863608,6.993425977496836
22,871f16025ffffff,0.64416784,52.407476634658245,7.027426254447375
23,871f16026ffffff,0.87803614,52.384666206898736,6.979318545610315
24,871f1602affffff,0.29485023,52.36288264672052,7.087037197136236
25,871f1602effffff,0.4940138,52.37775566953346,7.067173541914564
26,871f16030ffffff,0.7514257,52.34698603605144,6.951131299664977
27,871f16031ffffff,0.8639554,52.35097397729255,6.98509156163236
28,871f16032ffffff,0.7660654,52.328137787654896,6.9370514709963045
29,871f16033ffffff,0.8167446,52.33212885932275,6.970998406749749
30,871f16034ffffff,0.8101614,52.36183485325251,6.9312575651926425
31,871f16035ffffff,0.78136945,52.36582884425242,6.9652203221021685
32,871f16036ffffff,0.79331964,52.34298891603664,6.9171818771345315
33,871f16080ffffff,0.8870613,52.20805925384696,6.940343443035287
34,871f16081ffffff,0.73276025,52.21204466433767,6.974229721592424
35,871f16082ffffff,0.77384114,52.18917695405294,6.926297075191871
36,871f16083ffffff,0.6582522,52.193165470896346,6.96017008216222
37,871f16084ffffff,0.8709977,52.22294468722218,6.920510206679634
38,871f16085ffffff,0.7617781,52.22693613950863,6.954398964575061
39,871f16086ffffff,0.93939126,52.20406469661177,6.906467964835577
40,871f1608dffffff,0.72708005,52.219988012484826,7.04203460553211
41,871f16090ffffff,0.7734134,52.16628849537728,6.878410916863392
42,871f16091ffffff,0.7821293,52.170289245527336,6.912259853792437
