IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID,x,y
,Rijksbeschermd,,Ja,"28127",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,153.000000000000000,6.5412531751,52.2786336100
,Rijksbeschermd,,Ja,"28133",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,154.000000000000000,6.5951244710,52.2240093630
,Rijksbeschermd,,Ja,"28134",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,155.000000000000000,6.5413417173,52.2747082205
,Rijksbeschermd,,Ja,"28136",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,156.000000000000000,6.5015224006,52.2291410985
,Rijksbeschermd,,Ja,"28143",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,157.000000000000000,6.5067739381,52.2123847311
,Gemeentelijk monument,,Ja,ALM01025,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,661.000000000000000,6.6548847353,52.3655325043
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01078,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,662.000000000000000,6.7126468834,52.3501887637
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01080,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,663.000000000000000,6.7134845154,52.3572404254
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01081,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,664.000000000000000,6.6811735726,52.3546416327
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01090,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,665.000000000000000,6.6348865653,52.3519744790
,Gemeentelijk monument,,Ja,ALM01092,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,666.000000000000000,6.6442232598,52.3545992484
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01082,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,667.000000000000000,6.7043422962,52.3448761712
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01076,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,668.000000000000000,6.6946617987,52.3586948923
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01077,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,669.000000000000000,6.7201049145,52.3601343584
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01093,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,670.000000000000000,6.6590190421,52.3719689110
,Gemeentelijk monument,,Ja,BOR01032,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,671.000000000000000,6.7604102590,52.3008232326
,Gemeentelijk monument,,Ja,BOR01033,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,672.000000000000000,6.7590374880,52.3010009594
,Gemeentelijk monument,,Ja,BOR01001,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,673.000000000000000,6.7610275019,52.2984969501
,Gemeentelijk monument,,Ja,DNK01031,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,686.000000000000000,7.0159961676,52.3692687700
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,DNK01017,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,687.000000000000000,6.8801294300,52.3876892061
,Rijksbeschermd,,Ja,"31746",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,190.000000000000000,6.8995846974,52.4098543748
,Rijksbeschermd,,Ja,"31748",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,191.000000000000000,6.8981761821,52.4070677651
,Rijksbeschermd,,Ja,"31752",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,192.000000000000000,6.8999835861,52.4075838813
,Rijksbeschermd,,Ja,"31767",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,193.000000000000000,6.8861693225,52.4144187999
,Rijksbeschermd,,Ja,"33022",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,199.000000000000000,6.5292547951,52.3215900277
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"333490",hallehuisgroep (twentstype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,200.000000000000000,6.7156625149,52.1472420240
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"34143",hallehuisgroep (saksische type),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,202.000000000000000,6.7060114373,52.2557850392
,Rijksbeschermd,,Ja,"34144",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,203.000000000000000,6.7079183106,52.2552182102
,Rijksbeschermd,,Ja,"34148",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,204.000000000000000,6.7193503637,52.2631814051
,Rijksbeschermd,,Ja,"34164",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,205.000000000000000,6.7149936760,52.2570665994
,Rijksbeschermd,,Ja,"34165",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,206.000000000000000,6.7215569405,52.2567783132
,Gemeentelijk monument,,Ja,ENS01004,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,704.000000000000000,6.8697468849,52.2351602746
,Gemeentelijk monument,,Ja,ENS01027,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,705.000000000000000,6.8755082227,52.2543239587
,Gemeentelijk monument,,Ja,ENS01029,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,706.000000000000000,6.9243854387,52.2139930320
,Gemeentelijk monument,,Ja,ENS01047,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,707.000000000000000,6.8875284391,52.2515011431
,Gemeentelijk monument,,Ja,ENS01005,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,708.000000000000000,6.8671793610,52.2381852578
,Gemeentelijk monument,,Ja,ENS01006,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,709.000000000000000,6.8335844427,52.1955229503
,Gemeentelijk monument,,Ja,ENS01014,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,710.000000000000000,6.8671529520,52.1793493561
,Gemeentelijk monument,,Ja,ENS01015,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,711.000000000000000,6.7997125277,52.2054909502
,Gemeentelijk monument,,Ja,ENS01023,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,712.000000000000000,6.8310654757,52.2069650132
,Gemeentelijk monument,,Ja,ENS01085,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,713.000000000000000,6.9228103481,52.2069288076
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01071,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,714.000000000000000,6.8358948559,52.2127673217
,Gemeentelijk monument,,Ja,ENS01081,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,715.000000000000000,6.8414021827,52.2424424978
,Gemeentelijk monument,,Ja,ENS01234,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,716.000000000000000,6.7977997835,52.2002372535
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01094,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,717.000000000000000,6.8297264166,52.2102403136
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01155,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,718.000000000000000,6.9024601373,52.1966754481
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01161,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,719.000000000000000,6.9200021573,52.2002320230
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01038,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,720.000000000000000,6.7421610617,52.1527436681
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01039,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,721.000000000000000,6.7387881782,52.1410899046
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01003,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,722.000000000000000,6.8365751014,52.1435855321
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01004,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,723.000000000000000,6.8472248943,52.1395169546
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01023,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,724.000000000000000,6.7362249281,52.1584477817
,Gemeentelijk monument,,Ja,HKB01006,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,725.000000000000000,6.7444057177,52.1188920731
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01035,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,726.000000000000000,6.7438370641,52.1549986367
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01036,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,727.000000000000000,6.7422370298,52.1535177665
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01011,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,728.000000000000000,6.8319285319,52.1462853381
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01015,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,729.000000000000000,6.7414370139,52.1534441335
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01068,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,756.000000000000000,6.7368461658,52.2123475020
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01069,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,757.000000000000000,6.7470976948,52.2485900736
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01047,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,758.000000000000000,6.7244854354,52.2171950459
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01049,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,759.000000000000000,6.7488640229,52.2493607595
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01023,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,760.000000000000000,6.7453603854,52.2410863530
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01028,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,761.000000000000000,6.7394960038,52.2080474547
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01022,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,762.000000000000000,6.7499624529,52.2421839539
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01072,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,763.000000000000000,6.7282568222,52.2444547408
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01060,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,764.000000000000000,6.7125584634,52.2626454150
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01061,hallehuisgroep (krukhuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,765.000000000000000,6.7096683453,52.2620126086
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01001,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,766.000000000000000,6.7129367004,52.2635400544
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01022,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,767.000000000000000,6.4986911687,52.2342795716
,Gemeentelijk monument,,Ja,HOF01023,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,768.000000000000000,6.6605317628,52.1989115199
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01043,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,769.000000000000000,6.5899990584,52.2370549954
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01030,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,770.000000000000000,6.5883125828,52.2353441222
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01031,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,771.000000000000000,6.5883569762,52.2353616483
,Gemeentelijk monument,,Ja,RSN01024,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,823.000000000000000,6.5312342623,52.3147217168
,Gemeentelijk monument,,Ja,RSN01008,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,824.000000000000000,6.5232914971,52.3086591310
,Gemeentelijk monument,,Ja,RSN01011,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,825.000000000000000,6.5235198666,52.3084142500
,Gemeentelijk monument,,Ja,RSN01031,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,826.000000000000000,6.5233002221,52.3050124597
,Rijksbeschermd,,Ja,"363393",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,486.000000000000000,6.8951121097,52.1809664434
,Rijksbeschermd,,Ja,"38150",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,487.000000000000000,6.6446021328,52.4189311937
,Rijksbeschermd,,Ja,"34147",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,393.000000000000000,6.7188603305,52.2631143771
,Rijksbeschermd,,Ja,"38151",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,488.000000000000000,6.6503209740,52.4206008652
,Rijksbeschermd,,Ja,"35752",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,474.000000000000000,6.7470077712,52.4257350330
,Rijksbeschermd,,Ja,"35754",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,475.000000000000000,6.7415441152,52.4185563960
,Rijksbeschermd,,Ja,"35756",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,476.000000000000000,6.8980290965,52.4333222936
,Rijksbeschermd,,Ja,"35759",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,477.000000000000000,6.8414165666,52.3950319391
,Rijksbeschermd,,Ja,"38152",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,489.000000000000000,6.6505347535,52.4206205546
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01009,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1038.000000000000000,6.8702409799,52.4381597330
,Rijksbeschermd,,Ja,"35760",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,478.000000000000000,6.8592546507,52.3870048952
,Rijksbeschermd,,Ja,"35764",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,479.000000000000000,6.8510237797,52.4256949895
,Rijksbeschermd,,Ja,"35765",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,480.000000000000000,6.7336889837,52.3917117285
,Rijksbeschermd,,Ja,"35769",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,481.000000000000000,6.7089699284,52.4320457227
,Rijksbeschermd,,Ja,"35772",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,482.000000000000000,6.8384227241,52.4334567006
,Rijksbeschermd,,Ja,"35777",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,483.000000000000000,6.7916369462,52.3892263217
,Rijksbeschermd,,Ja,"35779",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,484.000000000000000,6.7395110078,52.4251291408
,Rijksbeschermd,,Ja,"35782",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,485.000000000000000,6.8319818211,52.4341970926
,Rijksbeschermd,,Ja,"38153",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,490.000000000000000,6.6506545928,52.4202078228
,Rijksbeschermd,,Ja,"38154",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,491.000000000000000,6.6160416174,52.4089744581
,Rijksbeschermd,,Ja,"38155",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,492.000000000000000,6.6643280273,52.3834530530
,Rijksbeschermd,,Ja,"38422",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,493.000000000000000,6.9261675585,52.3417712461
,Rijksbeschermd,,Ja,"38425",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,494.000000000000000,6.9515349816,52.3596486827
,Rijksbeschermd,,Ja,"38426",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,495.000000000000000,6.9398494606,52.3713519548
,Rijksbeschermd,,Ja,"38428",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,496.000000000000000,6.8013390548,52.3337108059
,Rijksbeschermd,,Ja,"38900",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,497.000000000000000,6.5975583973,52.2755009279
,Rijksbeschermd,,Ja,"38903",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,498.000000000000000,6.5610007357,52.3228164538
,Rijksbeschermd,,Ja,"38905",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,499.000000000000000,6.4907409868,52.3393357573
,Rijksbeschermd,,Ja,"38906",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,500.000000000000000,6.5632241071,52.2937525266
,Rijksbeschermd,,Ja,"38907",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,501.000000000000000,6.5785675432,52.3449952721
,Rijksbeschermd,,Ja,"38908",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,502.000000000000000,6.5066164504,52.3318823042
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"46611",hallehuisgroep (twentstype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,518.000000000000000,6.8563636539,52.2108045755
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"46612",hallehuisgroep (twentstype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,519.000000000000000,6.7782698398,52.2281999233
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"46769",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,520.000000000000000,6.4397723384,52.4142614118
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01019,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1039.000000000000000,6.7562661164,52.3985697194
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01020,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,,landbouw,Gebouwd erfgoed,1040.000000000000000,6.7424221624,52.4134162597
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01021,hallehuisgroep (hallehuisboerderij),boerderijtypen,volle en late middeleeuwen,landbouw,Gebouwd erfgoed,1041.000000000000000,6.7774382195,52.4242464341
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01010,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1042.000000000000000,6.8308185326,52.4235723119
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01011,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1043.000000000000000,6.8354457953,52.4247922577
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01012,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1044.000000000000000,6.7419423221,52.3698809720
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,TUB01013,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1045.000000000000000,6.7117620948,52.3800737591
"koeien met kop naar muur, dekbalkgebint",Gemeentelijk monument,,Ja,TUB01014,noordelijke huisgroep (kop-romptype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1046.000000000000000,6.6908772887,52.4046284700
,Gemeentelijk monument,,Ja,VZV01003,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1047.000000000000000,6.6430904085,52.4182145304
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,VZV01004,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1048.000000000000000,6.6467849021,52.4195138370
,Gemeentelijk monument,,Ja,VZV01005,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1049.000000000000000,6.6512901679,52.4207781842
,Gemeentelijk monument,,Ja,VZV01006,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1050.000000000000000,6.6255182997,52.4123111920
,Gemeentelijk monument,,Ja,VZV01018,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1051.000000000000000,6.6402564826,52.4168775214
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,VZV01019,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1052.000000000000000,6.6496136741,52.4199924326
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,VZV01020,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1053.000000000000000,6.6539678907,52.4208484688
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,VZV01024,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,1054.000000000000000,6.7088672122,52.4795728710
