IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID,x,y
,Rijksbeschermd,,Ja,"12358",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,52.000000000000000,6.9732986747,52.4186338726
,Rijksbeschermd,,Ja,"12360",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,53.000000000000000,7.0125357111,52.3913007527
,Rijksbeschermd,,Ja,"12361",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,54.000000000000000,7.0282900736,52.4120573882
,Rijksbeschermd,,Ja,"12363",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,55.000000000000000,6.9567117995,52.3941314797
,Rijksbeschermd,,Ja,"12879",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,60.000000000000000,6.5487504445,52.1793149717
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"510622",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,588.000000000000000,6.8351291013,52.2305551004
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507615",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,589.000000000000000,6.7319646370,52.2727724036
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507671",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,590.000000000000000,6.7000505516,52.3456609141
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"511456",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,592.000000000000000,6.7912894572,52.2663368800
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"511481",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,593.000000000000000,6.7581025295,52.2683918553
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"511482",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,594.000000000000000,6.7466692796,52.2011796679
"koeien met kop naar muur, dekbalkgebint",Rijksbeschermd,,Ja,"511485",noordelijke huisgroep (kop-romptype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,595.000000000000000,6.8116538149,52.2366257484
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"511931",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,596.000000000000000,6.8522695879,52.2756253536
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"511936",hallehuisgroep (twentstype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,597.000000000000000,6.8236604457,52.3550519764
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"512252",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,598.000000000000000,6.5559214998,52.3923740708
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"513499",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,600.000000000000000,6.9945402040,52.3147053620
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"513515",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,601.000000000000000,6.9709155352,52.3193043016
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"513933",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,606.000000000000000,6.5705917087,52.2048918962
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"513936",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,607.000000000000000,6.5542936412,52.2000370564
,Rijksbeschermd,,Ja,"7554",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,638.000000000000000,6.6660025214,52.2899433048
