hex9,value
8934a96e0cfffff,-99997
894db1b0957ffff,105
894b7221cd3ffff,10
893e7516237ffff,135
89254a32c63ffff,40
892e928032bffff,10
891ca46ead3ffff,30
89d5835a257ffff,145
89d79664397ffff,105
892f252f2b3ffff,75
8944464066fffff,95
8940137586bffff,20
8925326c66fffff,95
890e4bd900bffff,50
8921525633bffff,40
891d6508b9bffff,130
891fa80e03bffff,20
891892c2133ffff,55
891e63096d3ffff,50
8914aa30ccfffff,40
8922e0d0ccfffff,45
89e09021b93ffff,40
89cfa312d43ffff,55
89dc4ea0593ffff,75
89d5580a847ffff,40
89d80d336d7ffff,60
89da1039a93ffff,30
89d0a8b0d8bffff,35
89c7b212a4bffff,75
89d80d336d7ffff,40
89dc8c1656bffff,25
89d226d3277ffff,15
89d75c6c53bffff,40
89cd2a9a67bffff,40
89d9b1635b7ffff,45
89cfa312d43ffff,35
89dee310d13ffff,20
89d5580a847ffff,5
89c89650e67ffff,65
89c96bc6807ffff,75
89d75c6c53bffff,40
89cd2a9a67bffff,75
89b7893a22fffff,65
89bee2ca8abffff,60
89b58c53313ffff,55
89ad56cf5cbffff,25
89a90301d93ffff,55
89ba943752bffff,100
89b2e49a867ffff,85
89b2e49a867ffff,75
89c6cbd495bffff,90
89ba6e0806fffff,80
89b8000158bffff,90
89a4de8f393ffff,85
89058a58da3ffff,60
890da134917ffff,35
890135cc3a7ffff,30
890f3398d03ffff,135
89029bd993bffff,105
89b198b2b6bffff,40
89a90301d93ffff,50
89b7893a22fffff,140
89b58c53313ffff,20
8904a9342a3ffff,65
890943d05b3ffff,135
890fb51b0b7ffff,30
8904ebd65abffff,35
890d0d4208fffff,15
89068d0480fffff,50
89ba6e0806fffff,30
890135cc3a7ffff,10
8904ebd65abffff,10
89029bd993bffff,95
8907053499bffff,55
89058a58da3ffff,55
896d424951bffff,140
894f608490bffff,85
8958e0682d7ffff,25
895f8a9751bffff,15
8901b510837ffff,60
8902dcc43abffff,35
89512078ba3ffff,70
89675e1042fffff,130
8956510a24fffff,45
8964508f417ffff,80
8973334a083ffff,70
896b5acc30bffff,55
8971086c32bffff,40
89605430a7bffff,60
890b632dc6fffff,10
890600d744fffff,90
8958e0682d7ffff,80
89639018607ffff,20
894f608490bffff,10
895f8a9751bffff,30
895c19b85a3ffff,30
8969120aeafffff,225
89f29380e0fffff,75
89f29380e0fffff,60
895b515aa3bffff,100
89639018607ffff,95
89f29380e0fffff,115
89f29380e0fffff,30
89f29380e0fffff,55
89f29380e0fffff,85
89f29380e0fffff,90
89f29380e0fffff,95
89f29380e0fffff,80
89675e1042fffff,20
89f29380e0fffff,220
89f29380e0fffff,50
89f29380e0fffff,35
89f29380e0fffff,95
89f29380e0fffff,50
89f29380e0fffff,130
89f29380e0fffff,85
89f29380e0fffff,135
896e8e1ad5bffff,15
8958e0682d7ffff,80
894f608490bffff,195
895c19b85a3ffff,45
8969120aeafffff,75
895f8a9751bffff,130
896d424951bffff,20
89639018607ffff,80
89029bd993bffff,130
890da134917ffff,10
890135cc3a7ffff,65
890f3398d03ffff,25
89f29380e0fffff,225
89675e1042fffff,65
896b5acc30bffff,155
895b515aa3bffff,10
890d0d4208fffff,145
89068d0480fffff,140
8904a9342a3ffff,25
8902dcc43abffff,15
89bee2ca8abffff,95
89b198b2b6bffff,70
89545859823ffff,35
89512078ba3ffff,110
8973334a083ffff,120
89605430a7bffff,70
8964508f417ffff,55
895b515aa3bffff,25
8956510a24fffff,75
8971086c32bffff,100
890943d05b3ffff,110
8907053499bffff,25
89c10b4838fffff,100
89b198b2b6bffff,100
89af99a010bffff,50
89cb25700d3ffff,80
8904a9342a3ffff,55
89068d0480fffff,80
890fb51b0b7ffff,15
890d0d4208fffff,80
8907053499bffff,65
8901b510837ffff,40
89c6cbd495bffff,45
89bce67259bffff,120
89b7893a22fffff,115
89ad56cf5cbffff,60
89b58c53313ffff,75
89b8000158bffff,15
89a90301d93ffff,70
89029bd993bffff,50
89068d0480fffff,20
890d0d4208fffff,110
8902dcc43abffff,55
890a756a6b3ffff,50
890943d05b3ffff,10
8905b4a2d3bffff,5
890da134917ffff,75
89605430a7bffff,105
8956510a24fffff,125
896b5acc30bffff,105
89512078ba3ffff,75
895b515aa3bffff,120
890135cc3a7ffff,95
890fb51b0b7ffff,85
890f3398d03ffff,85
890943d05b3ffff,80
8905b4a2d3bffff,110
896b5acc30bffff,40
89675e1042fffff,35
8969120aeafffff,105
8971086c32bffff,25
89f29380e0fffff,55
896d424951bffff,55
8958e0682d7ffff,100
89675e1042fffff,50
8973334a083ffff,80
89f29380e0fffff,135
89f29380e0fffff,40
89f29380e0fffff,120
89f29380e0fffff,100
89f29380e0fffff,50
89f29380e0fffff,95
89f29380e0fffff,95
89f29380e0fffff,10
89f29380e0fffff,85
89545859823ffff,40
89272954917ffff,15
8916c5d36afffff,75
893c0db4b0bffff,15
89961e55923ffff,10
8956c5d6e6fffff,10
89f36408a57ffff,20
89ee82a692fffff,5
891d6508b9bffff,10
89c7b212a4bffff,10
8901b510837ffff,15
8940137586bffff,5
891e63096d3ffff,5
8914aa30ccfffff,10
89d20e21427ffff,5
89c7b212a4bffff,10
89d5580a847ffff,5
89cd2a9a67bffff,5
89d80d336d7ffff,20
89a90301d93ffff,5
89cb25700d3ffff,10
8904a9342a3ffff,10
8901b510837ffff,5
89512078ba3ffff,5
8956510a24fffff,25
89f29380e0fffff,15
89f29380e0fffff,10
894f608490bffff,15
89639018607ffff,15
890600d744fffff,25
890b632dc6fffff,70
890a756a6b3ffff,120
8904ebd65abffff,40
89058a58da3ffff,70
890600d744fffff,105
8907053499bffff,55
89bce67259bffff,50
89c6cbd495bffff,95
89c10b4838fffff,35
89aaae30047ffff,100
8901b510837ffff,115
8904a9342a3ffff,70
8905b4a2d3bffff,65
8902dcc43abffff,105
890fb51b0b7ffff,25
89068d0480fffff,85
89ad56cf5cbffff,85
89bee2ca8abffff,65
89a90301d93ffff,15
89b7893a22fffff,40
89c89650e67ffff,95
89b198b2b6bffff,25
