hex9,value
8919694232bffff,15
89196942343ffff,15
89196942347ffff,10
89196942357ffff,10
8919694235bffff,20
89196942363ffff,5
8919694236fffff,5
89196942373ffff,95
8919694237bffff,15
8919694282bffff,10
8919694283bffff,10
89196942843ffff,15
89196942847ffff,15
8919694284bffff,15
8919694284fffff,50
89196942853ffff,20
89196942857ffff,10
8919694285bffff,10
8919694286bffff,15
8919694286fffff,10
891969428c3ffff,5
891969428c7ffff,5
891969428cfffff,5
8919694299bffff,10
891969429cfffff,25
891969429d7ffff,5
89196942a0bffff,20
89196942a13ffff,40
89196942a17ffff,55
89196942a1bffff,110
89196942a43ffff,75
89196942a47ffff,25
89196942a4bffff,25
89196942a53ffff,270
89196942a57ffff,300
89196942a83ffff,20
89196942a87ffff,30
89196942a8bffff,45
89196942a8fffff,0
89196942a97ffff,5
89196942abbffff,55
89196942ac3ffff,5
89196942acbffff,55
89196942acfffff,420
89196942b0bffff,5
89196942b33ffff,5
89196942b83ffff,210
89196942b87ffff,85
89196942b8bffff,65
89196942b8fffff,10
89196942b93ffff,5
89196942b9bffff,15
89196942ba3ffff,10
89196942babffff,5
89196942bbbffff,10
89196942bc7ffff,10
89196942e0bffff,25
89196942e0fffff,25
89196942e2fffff,15
89196942e33ffff,5
89196942e43ffff,30
89196942e47ffff,70
89196942e4fffff,5
89196942e57ffff,30
89196942e73ffff,130
89196942e77ffff,55
89196943033ffff,25
89196943037ffff,5
8919694303bffff,35
89196943063ffff,15
89196943067ffff,15
8919694306fffff,20
89196943077ffff,20
891969430a3ffff,15
891969430afffff,5
891969430b7ffff,25
89196943103ffff,10
8919694316bffff,75
89196943173ffff,35
8919694317bffff,55
89196943183ffff,5
8919694318fffff,10
89196943193ffff,10
89196943197ffff,5
8919694320fffff,5
89196943233ffff,15
8919694323bffff,65
89196943243ffff,20
89196943247ffff,35
8919694330bffff,10
8919694330fffff,5
89196943317ffff,5
89196943323ffff,70
89196943327ffff,65
8919694332bffff,70
89196943337ffff,140
89196943363ffff,30
89196943367ffff,15
8919694337bffff,10
89196943387ffff,10
89196943393ffff,5
891969433a3ffff,145
891969433a7ffff,100
891969433afffff,180
891969433b7ffff,90
891969433c3ffff,20
891969433cfffff,20
891969433d7ffff,5
89196943513ffff,10
89196943517ffff,15
8919694351bffff,70
89196943543ffff,15
89196943547ffff,10
8919694354fffff,25
89196943557ffff,20
8919694367bffff,10
89196945043ffff,290
89196945047ffff,15
8919694504bffff,275
8919694504fffff,125
89196945053ffff,40
89196945057ffff,15
8919694505bffff,10
89196945063ffff,5
8919694507bffff,5
89196945143ffff,20
8919694514bffff,5
89196945153ffff,10
8919694518bffff,5
891969451c7ffff,5
891969451cfffff,15
89196945277ffff,5
89196945283ffff,115
89196945287ffff,405
8919694528bffff,5
89196945297ffff,55
8919694529bffff,55
891969452b3ffff,120
891969452d3ffff,30
891969452d7ffff,25
89196945303ffff,175
89196945307ffff,20
8919694530bffff,10
8919694530fffff,10
89196945313ffff,645
89196945317ffff,135
8919694531bffff,145
89196945347ffff,5
89196945363ffff,30
8919694536fffff,40
89196945377ffff,35
8919694537bffff,5
89196945387ffff,10
8919694538bffff,65
891969453bbffff,15
891969453c7ffff,145
89196945627ffff,5
8919694566bffff,10
8919694566fffff,15
89196945a2bffff,10
89196945a2fffff,20
89196945b23ffff,10
89196945b2bffff,10
89196945b33ffff,5
89196945b67ffff,15
89196945b6fffff,20
89196945bafffff,10
89196945bcfffff,30
89196945bd7ffff,5
89196948003ffff,5
89196948007ffff,60
89196948023ffff,25
89196948027ffff,240
89196948033ffff,5
89196948037ffff,5
8919694803bffff,20
89196948043ffff,105
89196948047ffff,105
8919694804bffff,830
8919694804fffff,465
89196948053ffff,15
8919694805bffff,440
891969480cbffff,80
89196948113ffff,40
89196948117ffff,10
8919694811bffff,115
89196948153ffff,30
89196948157ffff,5
8919694815bffff,15
89196948167ffff,10
8919694818fffff,5
891969481a7ffff,110
891969481b3ffff,65
891969481b7ffff,345
891969481bbffff,35
891969481c7ffff,15
891969481cbffff,120
891969481cfffff,75
89196948283ffff,420
89196948287ffff,225
8919694828bffff,120
89196948293ffff,525
89196948297ffff,555
8919694829bffff,680
891969482afffff,5
891969482b3ffff,70
891969482d3ffff,485
891969482d7ffff,240
891969482dbffff,30
89196948347ffff,40
89196948357ffff,45
89196948363ffff,20
8919694836bffff,20
8919694836fffff,15
8919694837bffff,15
891969483cfffff,35
89196948407ffff,5
89196948413ffff,35
89196948443ffff,10
8919694844bffff,580
8919694844fffff,10
8919694845bffff,5
89196948487ffff,10
8919694848bffff,25
89196948497ffff,70
891969484c3ffff,5
891969484d7ffff,5
8919694859bffff,10
89196948603ffff,745
89196948607ffff,245
8919694860bffff,500
8919694860fffff,570
89196948613ffff,365
