hex9,value
8919694acb7ffff,125
8919694acbbffff,305
8919694acc3ffff,15
8919694acc7ffff,0
8919694accbffff,5
8919694accfffff,15
8919694acdbffff,35
8919694ad03ffff,280
8919694ad07ffff,85
8919694ad0bffff,255
8919694ad0fffff,390
8919694ad13ffff,330
8919694ad17ffff,405
8919694ad1bffff,465
8919694ad23ffff,145
8919694ad27ffff,5
8919694ad2bffff,440
8919694ad2fffff,460
8919694ad3bffff,165
8919694ad43ffff,185
8919694ad47ffff,555
8919694ad4bffff,10
8919694ad4fffff,150
8919694ad53ffff,120
8919694ad57ffff,130
8919694ad5bffff,195
8919694ad63ffff,305
8919694ad67ffff,340
8919694ad6bffff,305
8919694ad6fffff,105
8919694ad73ffff,340
8919694ad77ffff,260
8919694ad7bffff,390
8919694ad83ffff,295
8919694ad87ffff,275
8919694ad8bffff,285
8919694ad8fffff,600
8919694ad93ffff,340
8919694ad97ffff,205
8919694ad9bffff,350
8919694ada3ffff,345
8919694adabffff,165
8919694adb3ffff,230
8919694adbbffff,740
8919694adc3ffff,380
8919694adc7ffff,255
8919694adcbffff,325
8919694adcfffff,150
8919694add3ffff,400
8919694add7ffff,235
8919694addbffff,340
8919694ae23ffff,5
8919694ae27ffff,10
8919694ae2fffff,5
8919694ae93ffff,0
8919694aedbffff,0
8919694b02bffff,0
8919694b03bffff,5
8919694b04bffff,0
8919694b063ffff,185
8919694b067ffff,355
8919694b06bffff,350
8919694b06fffff,360
8919694b097ffff,5
8919694b0b3ffff,0
8919694b103ffff,0
8919694b10bffff,220
8919694b10fffff,310
8919694b11bffff,15
8919694b127ffff,0
8919694b12bffff,20
8919694b12fffff,5
8919694b147ffff,240
8919694b14fffff,20
8919694b163ffff,315
8919694b167ffff,280
8919694b16bffff,400
8919694b16fffff,435
8919694b173ffff,350
8919694b177ffff,75
8919694b17bffff,255
8919694b193ffff,0
8919694b1c7ffff,0
8919694b1d3ffff,0
8919694b203ffff,40
8919694b207ffff,40
8919694b20bffff,15
8919694b20fffff,50
8919694b213ffff,5
8919694b217ffff,5
8919694b21bffff,105
