hex9,value
8919694232bffff,0
89196942343ffff,10
89196942347ffff,0
89196942357ffff,5
8919694235bffff,10
89196942363ffff,0
8919694236fffff,0
89196942373ffff,40
8919694237bffff,10
8919694282bffff,0
8919694283bffff,10
89196942843ffff,0
89196942847ffff,5
8919694284bffff,5
8919694284fffff,25
89196942853ffff,10
89196942857ffff,0
8919694285bffff,0
8919694286bffff,0
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,10
891969429d7ffff,0
89196942a0bffff,10
89196942a13ffff,20
89196942a17ffff,30
89196942a1bffff,45
89196942a43ffff,40
89196942a47ffff,15
89196942a4bffff,10
89196942a53ffff,140
89196942a57ffff,155
89196942a83ffff,10
89196942a87ffff,10
89196942a8bffff,20
89196942a8fffff,0
89196942a97ffff,0
89196942abbffff,30
89196942ac3ffff,0
89196942acbffff,20
89196942acfffff,220
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,115
89196942b87ffff,40
89196942b8bffff,25
89196942b8fffff,0
89196942b93ffff,0
89196942b9bffff,5
89196942ba3ffff,5
89196942babffff,0
89196942bbbffff,5
89196942bc7ffff,5
89196942e0bffff,10
89196942e0fffff,15
89196942e2fffff,10
89196942e33ffff,0
89196942e43ffff,20
89196942e47ffff,30
89196942e4fffff,0
89196942e57ffff,15
89196942e73ffff,70
89196942e77ffff,25
89196943033ffff,10
89196943037ffff,0
8919694303bffff,25
89196943063ffff,0
89196943067ffff,5
8919694306fffff,0
89196943077ffff,10
891969430a3ffff,5
891969430afffff,0
891969430b7ffff,15
89196943103ffff,0
8919694316bffff,40
89196943173ffff,15
8919694317bffff,35
89196943183ffff,0
8919694318fffff,5
89196943193ffff,0
89196943197ffff,0
8919694320fffff,0
89196943233ffff,5
8919694323bffff,35
89196943243ffff,5
89196943247ffff,15
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,40
89196943327ffff,30
8919694332bffff,30
89196943337ffff,75
89196943363ffff,10
89196943367ffff,0
8919694337bffff,0
89196943387ffff,5
89196943393ffff,0
891969433a3ffff,75
891969433a7ffff,40
891969433afffff,85
891969433b7ffff,50
891969433c3ffff,0
891969433cfffff,10
891969433d7ffff,5
89196943513ffff,5
89196943517ffff,10
8919694351bffff,30
89196943543ffff,0
89196943547ffff,5
8919694354fffff,10
89196943557ffff,5
8919694367bffff,0
89196945043ffff,145
89196945047ffff,5
8919694504bffff,145
8919694504fffff,55
89196945053ffff,25
89196945057ffff,10
8919694505bffff,5
89196945063ffff,0
8919694507bffff,0
89196945143ffff,0
8919694514bffff,0
89196945153ffff,0
8919694518bffff,0
891969451c7ffff,5
891969451cfffff,0
89196945277ffff,0
89196945283ffff,60
89196945287ffff,210
8919694528bffff,0
89196945297ffff,25
8919694529bffff,30
891969452b3ffff,65
891969452d3ffff,10
891969452d7ffff,10
89196945303ffff,90
89196945307ffff,10
8919694530bffff,0
8919694530fffff,0
89196945313ffff,305
89196945317ffff,70
8919694531bffff,80
89196945347ffff,5
89196945363ffff,0
8919694536fffff,20
89196945377ffff,10
8919694537bffff,0
89196945387ffff,0
8919694538bffff,35
891969453bbffff,5
891969453c7ffff,80
89196945627ffff,0
8919694566bffff,0
8919694566fffff,5
89196945a2bffff,0
89196945a2fffff,5
89196945b23ffff,5
89196945b2bffff,0
89196945b33ffff,0
89196945b67ffff,5
89196945b6fffff,5
89196945bafffff,5
89196945bcfffff,10
89196945bd7ffff,0
89196948003ffff,0
89196948007ffff,25
89196948023ffff,10
89196948027ffff,125
89196948033ffff,0
89196948037ffff,0
8919694803bffff,5
89196948043ffff,60
89196948047ffff,55
8919694804bffff,425
8919694804fffff,230
89196948053ffff,10
8919694805bffff,215
891969480cbffff,40
89196948113ffff,25
89196948117ffff,0
8919694811bffff,70
89196948153ffff,15
89196948157ffff,0
8919694815bffff,0
89196948167ffff,0
8919694818fffff,0
891969481a7ffff,45
891969481b3ffff,30
891969481b7ffff,160
891969481bbffff,15
891969481c7ffff,5
891969481cbffff,75
891969481cfffff,35
89196948283ffff,210
89196948287ffff,110
8919694828bffff,60
89196948293ffff,280
89196948297ffff,260
8919694829bffff,365
891969482afffff,0
891969482b3ffff,30
891969482d3ffff,260
891969482d7ffff,115
891969482dbffff,15
89196948347ffff,25
89196948357ffff,15
89196948363ffff,10
8919694836bffff,5
8919694836fffff,0
8919694837bffff,0
891969483cfffff,10
89196948407ffff,0
89196948413ffff,10
89196948443ffff,0
8919694844bffff,270
8919694844fffff,10
8919694845bffff,0
89196948487ffff,5
8919694848bffff,5
89196948497ffff,40
891969484c3ffff,0
891969484d7ffff,0
8919694859bffff,5
89196948603ffff,360
89196948607ffff,125
8919694860bffff,240
8919694860fffff,275
89196948613ffff,170
89196948617ffff,20
8919694861bffff,515
89196948623ffff,175
89196948627ffff,125
8919694862bffff,155
8919694862fffff,370
89196948637ffff,35
8919694863bffff,210
89196948643ffff,185
89196948647ffff,380
8919694864bffff,335
8919694864fffff,220
89196948653ffff,190
89196948657ffff,285
8919694865bffff,15
89196948663ffff,120
89196948667ffff,60
8919694866bffff,430
8919694866fffff,250
89196948673ffff,225
89196948677ffff,315
8919694867bffff,345
89196948683ffff,320
89196948687ffff,280
8919694868bffff,100
8919694868fffff,120
89196948693ffff,305
89196948697ffff,280
8919694869bffff,460
891969486a3ffff,65
891969486abffff,65
891969486b3ffff,110
891969486bbffff,135
891969486c3ffff,250
891969486c7ffff,335
891969486cbffff,185
891969486cfffff,295
891969486d3ffff,350
891969486d7ffff,405
891969486dbffff,90
89196948803ffff,30
89196948813ffff,155
89196948817ffff,230
89196948843ffff,10
8919694884bffff,10
89196948853ffff,5
8919694885bffff,25
89196948883ffff,5
89196948887ffff,160
8919694888fffff,175
891969488a3ffff,205
891969488a7ffff,30
891969488afffff,70
891969488b3ffff,150
891969488b7ffff,40
891969488bbffff,365
891969488c7ffff,10
891969488cfffff,20
89196948907ffff,10
8919694890bffff,0
89196948947ffff,0
8919694894fffff,5
8919694898fffff,0
891969489a3ffff,0
891969489b7ffff,0
89196948a27ffff,0
89196948a2fffff,90
89196948a43ffff,0
89196948a4fffff,0
89196948a53ffff,5
89196948a87ffff,0
89196948ab3ffff,5
89196948b13ffff,0
89196948b43ffff,335
89196948b4bffff,180
89196948b53ffff,35
89196948b57ffff,0
89196948b5bffff,370
89196948b6bffff,10
89196948b6fffff,115
89196948b87ffff,0
89196948bb3ffff,5
89196948bc7ffff,0
89196948bcbffff,15
89196948bcfffff,30
89196948c0fffff,5
89196948c13ffff,0
89196948c1bffff,10
89196948c8fffff,0
89196948d0fffff,0
89196948d23ffff,0
89196948d27ffff,5
89196948d3bffff,0
89196948d43ffff,70
89196948d47ffff,190
89196948d4bffff,80
89196948d4fffff,220
89196948d73ffff,55
89196948d7bffff,25
89196948d83ffff,0
89196948d87ffff,10
89196948d97ffff,0
89196948d9bffff,5
89196948da3ffff,10
89196948da7ffff,0
89196948dabffff,5
89196948db7ffff,10
89196948dc3ffff,5
89196948dc7ffff,5
89196948ddbffff,0
89196948e07ffff,0
89196948e0fffff,0
89196948e2bffff,0
89196948e2fffff,0
89196948e3bffff,0
89196948e47ffff,0
89196948e4fffff,0
89196948e73ffff,0
89196948e77ffff,0
89196948e7bffff,10
89196949003ffff,300
89196949007ffff,185
8919694900bffff,245
8919694900fffff,320
89196949013ffff,20
8919694901bffff,145
89196949023ffff,255
89196949027ffff,90
8919694902bffff,165
8919694902fffff,100
89196949033ffff,140
89196949037ffff,350
8919694903bffff,315
89196949043ffff,460
89196949047ffff,420
8919694904bffff,55
8919694904fffff,30
89196949053ffff,125
89196949057ffff,360
8919694905bffff,475
89196949063ffff,25
8919694906fffff,105
89196949073ffff,345
89196949077ffff,335
8919694907bffff,50
89196949083ffff,475
89196949087ffff,320
8919694908bffff,160
8919694908fffff,335
89196949093ffff,155
89196949097ffff,455
8919694909bffff,5
891969490a3ffff,520
891969490a7ffff,240
891969490abffff,345
891969490afffff,370
891969490b3ffff,315
891969490b7ffff,310
891969490bbffff,520
891969490c3ffff,300
891969490c7ffff,50
891969490cbffff,415
891969490cfffff,520
891969490d3ffff,355
891969490d7ffff,225
891969490dbffff,280
89196949113ffff,0
89196949143ffff,0
8919694914bffff,70
8919694914fffff,25
89196949153ffff,90
89196949157ffff,0
8919694915bffff,40
89196949187ffff,10
8919694918bffff,5
8919694919bffff,50
891969491a3ffff,30
891969491a7ffff,35
891969491b3ffff,10
891969491bbffff,30
891969491c3ffff,80
891969491c7ffff,15
891969491cbffff,115
891969491d3ffff,330
891969491d7ffff,40
891969491dbffff,285
89196949243ffff,125
89196949247ffff,0
8919694924bffff,250
8919694924fffff,0
89196949253ffff,225
89196949257ffff,10
8919694925bffff,305
8919694926bffff,15
8919694926fffff,0
8919694927bffff,15
89196949297ffff,100
891969492c3ffff,20
891969492cbffff,110
891969492cfffff,35
891969492d3ffff,0
891969492dbffff,10
89196949303ffff,140
89196949307ffff,275
8919694930bffff,390
8919694930fffff,340
89196949313ffff,30
89196949317ffff,350
8919694931bffff,70
89196949323ffff,200
8919694932bffff,260
8919694932fffff,80
89196949333ffff,310
89196949337ffff,45
8919694933bffff,335
89196949343ffff,135
89196949347ffff,365
8919694934bffff,35
8919694934fffff,100
89196949353ffff,50
89196949357ffff,315
8919694935bffff,35
89196949363ffff,200
89196949367ffff,150
8919694936bffff,245
8919694936fffff,100
89196949373ffff,255
89196949377ffff,35
8919694937bffff,230
89196949383ffff,75
89196949387ffff,220
8919694938bffff,165
8919694938fffff,185
89196949393ffff,0
89196949397ffff,40
8919694939bffff,180
891969493a3ffff,270
891969493abffff,475
891969493afffff,150
891969493b3ffff,360
891969493b7ffff,50
891969493bbffff,150
891969493c3ffff,40
891969493c7ffff,125
891969493cfffff,105
891969493d3ffff,40
891969493d7ffff,330
