hex9,value
89196940b97ffff,E1153N4585
89196940c07ffff,E1163N4616
89196940c0fffff,E1160N4615
89196940c6bffff,E1154N4612
89196940c77ffff,E1158N4614
89196940ca3ffff,E1170N4619
89196940d97ffff,E1185N4611
89196940e4bffff,E1126N4615E1127N4615E1127N4616
89196940e5bffff,E1127N4617E1128N4617E1127N4618E1128N4618E1129N4618E1129N4619
89196940ed3ffff,E1138N4625
89196940edbffff,E1133N4624E1133N4625E1134N4625
89196941027ffff,E1080N4647E1081N4647E1081N4648E1079N4649
89196941037ffff,E1082N4650E1082N4651E1082N4652
89196941077ffff,E1072N4651
8919694108bffff,E1077N4663
8919694109bffff,E1078N4666E1078N4667E1079N4667E1079N4668E1080N4668
891969410afffff,E1082N4653E1083N4653E1083N4655
891969410b3ffff,E1085N4659E1085N4660
891969410b7ffff,E1087N4657E1088N4658E1088N4659
89196941103ffff,E1088N4641E1089N4641E1088N4642E1089N4642E1089N4643E1090N4643
8919694110bffff,E1086N4641E1085N4642E1086N4642E1087N4641E1086N4640E1087N4642
8919694110fffff,E1087N4639E1087N4640E1088N4640E1086N4639
89196941117ffff,E1092N4642E1091N4643E1093N4643
8919694111bffff,E1086N4643E1086N4645E1087N4643E1088N4643E1087N4644E1087N4645
89196941127ffff,E1094N4631
89196941137ffff,E1095N4634
89196941143ffff,E1081N4642E1082N4642E1080N4643E1081N4643E1082N4643E1080N4644E1081N4644
89196941147ffff,E1082N4641E1083N4641E1082N4639E1083N4639E1081N4640E1082N4640E1083N4640E1081N4641
8919694114bffff,E1077N4642
89196941153ffff,E1082N4644E1081N4645E1082N4645E1083N4645E1081N4646E1082N4646E1083N4646E1082N4647E1083N4647
89196941157ffff,E1083N4642E1084N4642E1083N4643E1084N4643E1085N4643E1083N4644E1084N4644E1085N4644E1084N4645
8919694115bffff,E1079N4644E1079N4645E1080N4645E1079N4646E1080N4646
89196941173ffff,E1085N4637E1083N4638E1085N4638
8919694118fffff,E1094N4644
891969411a3ffff,E1098N4640E1098N4641E1098N4642
891969411a7ffff,E1098N4638E1098N4639
891969411afffff,E1097N4638
891969411b3ffff,E1098N4643E1098N4644E1099N4645
891969411b7ffff,E1099N4642
891969411bbffff,E1095N4644E1097N4644
891969411c3ffff,E1087N4648E1088N4649E1086N4648E1085N4649E1086N4649
891969411c7ffff,E1087N4646E1088N4646E1087N4647E1088N4647E1088N4648
891969411cbffff,E1082N4648E1083N4648E1084N4648E1082N4649E1083N4649E1084N4649E1083N4650
891969411cfffff,E1085N4645E1084N4646E1085N4646E1086N4646E1084N4647E1085N4647E1086N4647E1085N4648
891969411d3ffff,E1089N4652E1089N4653
891969411d7ffff,E1089N4649E1089N4650E1089N4651
89196941217ffff,E1057N4653
89196941323ffff,E1068N4628E1069N4628E1068N4630E1069N4630
89196941327ffff,E1070N4626E1070N4627E1071N4626
