hex9,value
8919694232bffff,0
89196942343ffff,0
89196942347ffff,0
89196942357ffff,0
8919694235bffff,0
89196942363ffff,0
8919694236fffff,0
89196942373ffff,0
8919694237bffff,0
8919694282bffff,0
8919694283bffff,0
89196942843ffff,0
89196942847ffff,0
8919694284bffff,0
8919694284fffff,0
89196942853ffff,0
89196942857ffff,0
8919694285bffff,0
8919694286bffff,0
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,0
891969429d7ffff,0
89196942a0bffff,5
89196942a13ffff,0
89196942a17ffff,5
89196942a1bffff,0
89196942a43ffff,0
89196942a47ffff,0
89196942a4bffff,0
89196942a53ffff,30
89196942a57ffff,35
89196942a83ffff,0
89196942a87ffff,0
89196942a8bffff,0
89196942a8fffff,0
89196942a97ffff,0
89196942abbffff,0
89196942ac3ffff,0
89196942acbffff,0
89196942acfffff,50
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,20
89196942b87ffff,5
89196942b8bffff,0
89196942b8fffff,0
89196942b93ffff,0
89196942b9bffff,0
89196942ba3ffff,0
89196942babffff,0
89196942bbbffff,0
89196942bc7ffff,0
89196942e0bffff,0
89196942e0fffff,0
89196942e2fffff,0
89196942e33ffff,0
89196942e43ffff,0
89196942e47ffff,0
89196942e4fffff,0
89196942e57ffff,0
89196942e73ffff,5
89196942e77ffff,0
89196943033ffff,0
89196943037ffff,0
8919694303bffff,0
89196943063ffff,0
89196943067ffff,0
8919694306fffff,0
89196943077ffff,0
891969430a3ffff,0
891969430afffff,0
891969430b7ffff,0
89196943103ffff,0
8919694316bffff,10
89196943173ffff,0
8919694317bffff,5
89196943183ffff,0
8919694318fffff,0
89196943193ffff,0
89196943197ffff,0
8919694320fffff,0
89196943233ffff,0
8919694323bffff,0
89196943243ffff,0
89196943247ffff,0
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,0
89196943327ffff,0
8919694332bffff,5
89196943337ffff,10
89196943363ffff,0
89196943367ffff,0
8919694337bffff,0
89196943387ffff,0
89196943393ffff,0
891969433a3ffff,0
891969433a7ffff,0
891969433afffff,15
891969433b7ffff,0
891969433c3ffff,0
891969433cfffff,0
891969433d7ffff,0
89196943513ffff,0
89196943517ffff,0
8919694351bffff,0
89196943543ffff,0
89196943547ffff,0
8919694354fffff,0
89196943557ffff,0
8919694367bffff,0
89196945043ffff,30
89196945047ffff,0
8919694504bffff,30
8919694504fffff,0
89196945053ffff,5
89196945057ffff,0
8919694505bffff,0
89196945063ffff,0
8919694507bffff,0
89196945143ffff,0
8919694514bffff,0
89196945153ffff,0
8919694518bffff,0
891969451c7ffff,0
891969451cfffff,0
89196945277ffff,0
89196945283ffff,5
89196945287ffff,50
8919694528bffff,0
89196945297ffff,5
8919694529bffff,0
891969452b3ffff,10
891969452d3ffff,0
891969452d7ffff,0
89196945303ffff,15
89196945307ffff,0
8919694530bffff,0
8919694530fffff,0
89196945313ffff,70
89196945317ffff,5
8919694531bffff,10
89196945347ffff,0
89196945363ffff,0
8919694536fffff,0
89196945377ffff,0
8919694537bffff,0
89196945387ffff,0
8919694538bffff,5
891969453bbffff,0
891969453c7ffff,15
89196945627ffff,0
8919694566bffff,0
8919694566fffff,0
89196945a2bffff,0
89196945a2fffff,0
89196945b23ffff,0
89196945b2bffff,0
89196945b33ffff,0
89196945b67ffff,0
89196945b6fffff,0
89196945bafffff,0
89196945bcfffff,0
89196945bd7ffff,0
89196948003ffff,0
89196948007ffff,5
89196948023ffff,0
89196948027ffff,20
89196948033ffff,0
89196948037ffff,0
8919694803bffff,0
89196948043ffff,0
89196948047ffff,15
8919694804bffff,80
8919694804fffff,70
89196948053ffff,0
8919694805bffff,50
891969480cbffff,0
89196948113ffff,0
89196948117ffff,0
8919694811bffff,0
89196948153ffff,0
89196948157ffff,0
8919694815bffff,0
89196948167ffff,0
8919694818fffff,0
891969481a7ffff,20
891969481b3ffff,0
891969481b7ffff,35
891969481bbffff,0
891969481c7ffff,0
891969481cbffff,0
891969481cfffff,5
89196948283ffff,60
89196948287ffff,25
8919694828bffff,20
89196948293ffff,60
89196948297ffff,60
8919694829bffff,130
891969482afffff,0
891969482b3ffff,5
891969482d3ffff,85
891969482d7ffff,20
891969482dbffff,0
89196948347ffff,0
89196948357ffff,0
89196948363ffff,0
8919694836bffff,0
8919694836fffff,0
8919694837bffff,0
891969483cfffff,0
89196948407ffff,0
89196948413ffff,0
89196948443ffff,0
8919694844bffff,75
8919694844fffff,0
8919694845bffff,0
89196948487ffff,0
8919694848bffff,0
89196948497ffff,5
891969484c3ffff,0
891969484d7ffff,0
8919694859bffff,0
89196948603ffff,85
89196948607ffff,35
8919694860bffff,60
8919694860fffff,95
89196948613ffff,20
89196948617ffff,0
8919694861bffff,115
89196948623ffff,60
89196948627ffff,20
8919694862bffff,50
8919694862fffff,110
89196948637ffff,0
8919694863bffff,70
89196948643ffff,45
89196948647ffff,80
8919694864bffff,50
8919694864fffff,40
89196948653ffff,20
89196948657ffff,60
8919694865bffff,0
89196948663ffff,20
89196948667ffff,10
8919694866bffff,110
8919694866fffff,100
89196948673ffff,20
89196948677ffff,85
8919694867bffff,45
89196948683ffff,65
89196948687ffff,50
8919694868bffff,5
8919694868fffff,15
89196948693ffff,80
89196948697ffff,80
8919694869bffff,105
891969486a3ffff,25
891969486abffff,0
891969486b3ffff,15
891969486bbffff,40
891969486c3ffff,80
891969486c7ffff,50
891969486cbffff,30
891969486cfffff,65
891969486d3ffff,55
891969486d7ffff,50
891969486dbffff,0
89196948803ffff,5
89196948813ffff,35
89196948817ffff,55
89196948843ffff,0
8919694884bffff,0
89196948853ffff,0
8919694885bffff,0
89196948883ffff,0
89196948887ffff,40
8919694888fffff,20
891969488a3ffff,65
891969488a7ffff,5
891969488afffff,25
891969488b3ffff,35
891969488b7ffff,0
891969488bbffff,105
891969488c7ffff,0
891969488cfffff,0
89196948907ffff,0
8919694890bffff,0
89196948947ffff,0
8919694894fffff,0
8919694898fffff,0
891969489a3ffff,0
891969489b7ffff,0
89196948a27ffff,0
89196948a2fffff,20
89196948a43ffff,0
89196948a4fffff,0
89196948a53ffff,0
89196948a87ffff,0
89196948ab3ffff,0
89196948b13ffff,0
89196948b43ffff,95
89196948b4bffff,45
89196948b53ffff,0
89196948b57ffff,0
89196948b5bffff,100
89196948b6bffff,0
89196948b6fffff,5
89196948b87ffff,0
89196948bb3ffff,0
89196948bc7ffff,0
89196948bcbffff,0
89196948bcfffff,0
89196948c0fffff,0
89196948c13ffff,0
89196948c1bffff,0
89196948c8fffff,0
89196948d0fffff,0
89196948d23ffff,0
89196948d27ffff,0
89196948d3bffff,0
89196948d43ffff,0
89196948d47ffff,40
89196948d4bffff,5
89196948d4fffff,50
89196948d73ffff,10
89196948d7bffff,0
89196948d83ffff,0
89196948d87ffff,0
89196948d97ffff,0
