hex9,value
89196941e53ffff,774
89196941e5bffff,2621
89196941e67ffff,0
89196941e77ffff,0
89196941e8bffff,0
89196941e9bffff,0
89196941ecbffff,0
8919694230bffff,0
89196942323ffff,0
8919694232bffff,0
89196942343ffff,458
89196942347ffff,0
89196942357ffff,0
8919694235bffff,420
89196942363ffff,0
8919694236fffff,0
89196942373ffff,0
8919694237bffff,0
8919694282bffff,0
8919694283bffff,0
89196942843ffff,0
89196942847ffff,0
8919694284bffff,0
8919694284fffff,1264
89196942853ffff,0
89196942857ffff,0
8919694285bffff,0
8919694286bffff,0
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,0
891969429d7ffff,0
89196942a0bffff,757
89196942a13ffff,1666
89196942a17ffff,1165
89196942a1bffff,1279
89196942a43ffff,1743
89196942a47ffff,396
89196942a4bffff,839
89196942a53ffff,1616
89196942a57ffff,2228
89196942a83ffff,681
89196942a87ffff,0
89196942a8bffff,1027
89196942a8fffff,554
89196942a97ffff,0
89196942abbffff,1675
89196942ac3ffff,0
89196942acbffff,830
89196942acfffff,1397
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,2163
89196942b87ffff,969
89196942b8bffff,241
89196942b8fffff,0
89196942b93ffff,0
89196942b9bffff,0
89196942ba3ffff,0
89196942babffff,0
89196942bbbffff,0
89196942bc7ffff,0
89196942e0bffff,0
89196942e0fffff,0
89196942e2fffff,0
89196942e33ffff,0
89196942e43ffff,0
89196942e47ffff,0
89196942e4fffff,0
89196942e57ffff,0
89196942e73ffff,0
89196942e77ffff,0
89196943033ffff,335
89196943037ffff,0
8919694303bffff,478
89196943063ffff,0
89196943067ffff,0
8919694306fffff,0
89196943077ffff,0
891969430a3ffff,404
891969430afffff,0
891969430b7ffff,0
89196943103ffff,0
8919694316bffff,547
89196943173ffff,274
8919694317bffff,952
89196943183ffff,0
8919694318fffff,0
89196943193ffff,0
89196943197ffff,0
8919694320fffff,0
89196943233ffff,0
8919694323bffff,1130
89196943243ffff,0
89196943247ffff,0
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,1901
89196943327ffff,1517
8919694332bffff,785
89196943337ffff,2395
89196943363ffff,499
89196943367ffff,0
8919694337bffff,0
89196943387ffff,0
89196943393ffff,0
891969433a3ffff,0
891969433a7ffff,368
891969433afffff,447
891969433b7ffff,0
891969433c3ffff,0
891969433cfffff,550
891969433d7ffff,0
89196943513ffff,503
89196943517ffff,269
8919694351bffff,1600
89196943543ffff,0
89196943547ffff,0
8919694354fffff,0
89196943557ffff,0
8919694367bffff,0
89196945043ffff,1943
89196945047ffff,0
8919694504bffff,3169
8919694504fffff,1184
89196945053ffff,279
89196945057ffff,458
8919694505bffff,0
89196945063ffff,0
8919694507bffff,0
89196945143ffff,0
8919694514bffff,0
89196945153ffff,0
8919694518bffff,0
891969451c7ffff,0
891969451cfffff,0
89196945277ffff,0
89196945283ffff,2396
89196945287ffff,2599
8919694528bffff,0
89196945297ffff,926
8919694529bffff,368
891969452b3ffff,1210
891969452d3ffff,0
891969452d7ffff,0
89196945303ffff,1596
89196945307ffff,470
8919694530bffff,0
8919694530fffff,0
89196945313ffff,3687
89196945317ffff,1955
8919694531bffff,1200
89196945347ffff,0
89196945363ffff,0
8919694536fffff,0
89196945377ffff,0
8919694537bffff,0
89196945387ffff,0
8919694538bffff,806
891969453bbffff,0
891969453c7ffff,616
89196945627ffff,0
8919694566bffff,0
8919694566fffff,0
89196945a2bffff,0
89196945a2fffff,0
89196945b23ffff,0
89196945b2bffff,0
89196945b33ffff,0
89196945b67ffff,0
89196945b6fffff,0
89196945bafffff,0
89196945bcfffff,0
89196945bd7ffff,0
89196948003ffff,0
89196948007ffff,261
89196948023ffff,244
89196948027ffff,1815
89196948033ffff,0
89196948037ffff,0
8919694803bffff,0
89196948043ffff,2116
89196948047ffff,355
8919694804bffff,4756
8919694804fffff,2375
89196948053ffff,798
8919694805bffff,2075
891969480cbffff,1760
89196948113ffff,325
89196948117ffff,0
8919694811bffff,1220
89196948153ffff,482
89196948157ffff,0
8919694815bffff,0
89196948167ffff,0
8919694818fffff,0
891969481a7ffff,345
891969481b3ffff,1068
891969481b7ffff,1556
891969481bbffff,670
891969481c7ffff,445
891969481cbffff,926
891969481cfffff,1805
89196948283ffff,1885
89196948287ffff,1163
8919694828bffff,822
89196948293ffff,3159
89196948297ffff,3908
8919694829bffff,4500
891969482afffff,0
891969482b3ffff,541
891969482d3ffff,4923
891969482d7ffff,1409
891969482dbffff,0
89196948347ffff,496
89196948357ffff,777
89196948363ffff,530
8919694836bffff,0
8919694836fffff,0
8919694837bffff,0
891969483cfffff,0
89196948407ffff,0
89196948413ffff,0
89196948443ffff,0
8919694844bffff,2714
8919694844fffff,0
8919694845bffff,0
89196948487ffff,0
8919694848bffff,0
89196948497ffff,425
891969484c3ffff,0
891969484d7ffff,0
8919694859bffff,0
89196948603ffff,5045
89196948607ffff,5133
8919694860bffff,3301
8919694860fffff,3545
89196948613ffff,919
89196948617ffff,1414
8919694861bffff,2915
89196948623ffff,3721
89196948627ffff,4327
8919694862bffff,1533
8919694862fffff,3282
89196948637ffff,2026
8919694863bffff,2839
89196948643ffff,3421
89196948647ffff,4120
8919694864bffff,2537
8919694864fffff,2760
89196948653ffff,5080
89196948657ffff,4420
8919694865bffff,701
89196948663ffff,2155
89196948667ffff,1595
8919694866bffff,3198
8919694866fffff,2903
89196948673ffff,2700
89196948677ffff,3906
8919694867bffff,1866
89196948683ffff,3670
89196948687ffff,2962
8919694868bffff,1345
8919694868fffff,1343
89196948693ffff,3521
89196948697ffff,3026
8919694869bffff,3345
891969486a3ffff,557
891969486abffff,1098
891969486b3ffff,773
891969486bbffff,1253
891969486c3ffff,2268
891969486c7ffff,2472
891969486cbffff,1142
891969486cfffff,2248
891969486d3ffff,1877
891969486d7ffff,1975
891969486dbffff,445
89196948803ffff,306
89196948813ffff,2123
89196948817ffff,2771
89196948843ffff,0
8919694884bffff,428
89196948853ffff,0
8919694885bffff,500
89196948883ffff,0
89196948887ffff,1725
8919694888fffff,1994
891969488a3ffff,1948
891969488a7ffff,799
891969488afffff,430
891969488b3ffff,2053
891969488b7ffff,2028
891969488bbffff,2933
891969488c7ffff,630
891969488cfffff,558
89196948907ffff,0
8919694890bffff,0
89196948947ffff,0
8919694894fffff,0
8919694898fffff,0
891969489a3ffff,0
891969489b7ffff,0
89196948a27ffff,0
89196948a2fffff,613
89196948a43ffff,0
89196948a4fffff,0
89196948a53ffff,0
89196948a87ffff,0
89196948ab3ffff,0
89196948b13ffff,0
89196948b43ffff,2703
89196948b4bffff,1682
89196948b53ffff,766
89196948b57ffff,0
89196948b5bffff,2192
89196948b6bffff,380
89196948b6fffff,1434
89196948b87ffff,0
89196948bb3ffff,0
89196948bc7ffff,0
89196948bcbffff,0
89196948bcfffff,447
89196948c0fffff,0
89196948c13ffff,0
89196948c1bffff,0
89196948c8fffff,0
89196948d0fffff,0
89196948d23ffff,0
89196948d27ffff,0
89196948d3bffff,0
89196948d43ffff,1251
89196948d47ffff,1815
89196948d4bffff,2146
89196948d4fffff,2058
89196948d73ffff,2019
89196948d7bffff,936
89196948d83ffff,0
89196948d87ffff,0
89196948d97ffff,0
89196948d9bffff,0
89196948da3ffff,492
89196948da7ffff,0
89196948dabffff,0
89196948db7ffff,395
89196948dc3ffff,0
89196948dc7ffff,0
89196948ddbffff,0
89196948e07ffff,0
89196948e0fffff,0
89196948e2bffff,0
89196948e2fffff,0
89196948e3bffff,0
89196948e47ffff,0
89196948e4fffff,0
89196948e73ffff,0
89196948e77ffff,0
89196948e7bffff,0
89196949003ffff,3598
89196949007ffff,2315
8919694900bffff,2624
8919694900fffff,2832
89196949013ffff,617
8919694901bffff,943
89196949023ffff,3774
89196949027ffff,1635
8919694902bffff,2812
8919694902fffff,2053
89196949033ffff,1455
89196949037ffff,2585
8919694903bffff,2872
89196949043ffff,3232
89196949047ffff,2389
8919694904bffff,946
8919694904fffff,0
89196949053ffff,928
89196949057ffff,2373
8919694905bffff,3169
89196949063ffff,515
8919694906fffff,895
89196949073ffff,2844
89196949077ffff,2327
8919694907bffff,1216
89196949083ffff,3603
89196949087ffff,1544
8919694908bffff,2435
8919694908fffff,3902
89196949093ffff,1473
89196949097ffff,1410
8919694909bffff,315
891969490a3ffff,1903
891969490a7ffff,1844
891969490abffff,2320
891969490afffff,1658
891969490b3ffff,1565
891969490b7ffff,1684
891969490bbffff,2473
891969490c3ffff,4164
891969490c7ffff,1110
891969490cbffff,2774
891969490cfffff,3090
891969490d3ffff,3330
891969490d7ffff,2049
891969490dbffff,3130
89196949113ffff,0
89196949143ffff,0
8919694914bffff,2437
8919694914fffff,1242
89196949153ffff,1086
