hex9,value
89196941b4bffff,3.7
89196941b53ffff,0.0
89196941b57ffff,0.0
89196941b5bffff,2.3
89196941ba3ffff,0.0
89196941ba7ffff,4.6
89196941bcfffff,0.0
89196941c27ffff,0.0
89196941c43ffff,5.3
89196941c47ffff,6.8
89196941c53ffff,2.4
89196941c63ffff,6.699999999999999
89196941c67ffff,12.600000000000001
89196941c73ffff,4.6
89196941c7bffff,0.0
89196941ca7ffff,0.0
89196941cb7ffff,0.0
89196941ccbffff,0.0
89196941ccfffff,0.0
89196941cdbffff,4.4
89196941d33ffff,8.4
89196941d37ffff,0.0
89196941d4bffff,0.0
89196941d4fffff,0.0
89196941d73ffff,0.0
89196941d77ffff,0.0
89196941d7bffff,0.0
89196941d87ffff,2.4
89196941d93ffff,4.8
89196941d97ffff,16.8
89196941da3ffff,16.1
89196941da7ffff,12.5
89196941dabffff,2.2
89196941dafffff,17.6
89196941db3ffff,6.3
89196941db7ffff,0.0
89196941dd3ffff,0.0
89196941e03ffff,0.0
89196941e43ffff,12.6
89196941e47ffff,3.2
89196941e4bffff,24.0
89196941e4fffff,19.1
89196941e53ffff,7.6
89196941e5bffff,20.4
89196941e67ffff,2.0
89196941e77ffff,0.0
89196941e8bffff,0.0
89196941e9bffff,0.0
89196941ecbffff,0.0
8919694230bffff,2.6
89196942323ffff,0.0
8919694232bffff,0.0
89196942343ffff,2.4
89196942347ffff,0.0
89196942357ffff,0.0
8919694235bffff,2.4
89196942363ffff,0.0
8919694236fffff,0.0
89196942373ffff,12.3
8919694237bffff,1.8
8919694282bffff,0.0
8919694283bffff,0.0
89196942843ffff,0.0
89196942847ffff,2.0
8919694284bffff,2.6
8919694284fffff,5.1
89196942853ffff,0.0
89196942857ffff,0.0
8919694285bffff,0.0
8919694286bffff,0.0
8919694286fffff,0.0
891969428c3ffff,0.0
891969428c7ffff,0.0
891969428cfffff,0.0
8919694299bffff,0.0
891969429cfffff,0.0
891969429d7ffff,0.0
89196942a0bffff,3.8
89196942a13ffff,4.4
89196942a17ffff,4.4
89196942a1bffff,8.8
89196942a43ffff,8.2
89196942a47ffff,1.8
89196942a4bffff,2.0
89196942a53ffff,10.6
89196942a57ffff,15.9
89196942a83ffff,0.0
89196942a87ffff,2.5
89196942a8bffff,2.0
89196942a8fffff,0.0
89196942a97ffff,0.0
89196942abbffff,7.8
89196942ac3ffff,0.0
89196942acbffff,4.0
89196942acfffff,11.6
89196942b0bffff,0.0
89196942b33ffff,0.0
89196942b83ffff,14.6
89196942b87ffff,8.7
89196942b8bffff,3.9
89196942b8fffff,0.0
89196942b93ffff,0.0
89196942b9bffff,0.0
89196942ba3ffff,0.0
89196942babffff,0.0
89196942bbbffff,0.0
89196942bc7ffff,0.0
89196942e0bffff,2.3
89196942e0fffff,1.9
89196942e2fffff,0.0
89196942e33ffff,0.0
89196942e43ffff,3.4
89196942e47ffff,7.4
89196942e4fffff,0.0
89196942e57ffff,3.4000000000000004
89196942e73ffff,11.3
89196942e77ffff,5.2
89196943033ffff,0.0
89196943037ffff,0.0
8919694303bffff,3.8
89196943063ffff,0.0
89196943067ffff,0.0
8919694306fffff,0.0
89196943077ffff,2.4
891969430a3ffff,2.2
891969430afffff,0.0
891969430b7ffff,5.0
89196943103ffff,0.0
8919694316bffff,4.5
89196943173ffff,2.8
8919694317bffff,6.6
89196943183ffff,0.0
8919694318fffff,0.0
89196943193ffff,0.0
89196943197ffff,0.0
8919694320fffff,0.0
89196943233ffff,0.0
8919694323bffff,7.2
89196943243ffff,1.0
89196943247ffff,0.0
8919694330bffff,0.0
8919694330fffff,0.0
89196943317ffff,0.0
89196943323ffff,9.799999999999999
89196943327ffff,8.4
8919694332bffff,6.1
89196943337ffff,13.0
89196943363ffff,3.6
89196943367ffff,0.0
8919694337bffff,0.0
89196943387ffff,0.0
89196943393ffff,0.0
891969433a3ffff,0.0
891969433a7ffff,2.5
891969433afffff,2.8
891969433b7ffff,0.0
891969433c3ffff,0.0
891969433cfffff,2.9
891969433d7ffff,0.0
89196943513ffff,2.0
89196943517ffff,2.4
8919694351bffff,9.6
89196943543ffff,0.0
89196943547ffff,0.0
8919694354fffff,0.0
89196943557ffff,0.0
8919694367bffff,0.0
89196945043ffff,15.2
89196945047ffff,0.0
8919694504bffff,17.3
8919694504fffff,6.0
89196945053ffff,2.1
89196945057ffff,2.1
8919694505bffff,0.0
89196945063ffff,0.0
8919694507bffff,0.0
89196945143ffff,0.0
8919694514bffff,0.0
89196945153ffff,0.0
8919694518bffff,0.0
891969451c7ffff,0.0
891969451cfffff,0.0
89196945277ffff,0.0
89196945283ffff,10.299999999999999
89196945287ffff,18.8
8919694528bffff,0.0
89196945297ffff,4.7
8919694529bffff,2.0
891969452b3ffff,7.6
891969452d3ffff,0.0
891969452d7ffff,0.0
89196945303ffff,8.8
89196945307ffff,3.0
8919694530bffff,0.0
8919694530fffff,0.0
89196945313ffff,25.7
89196945317ffff,9.7
8919694531bffff,8.7
89196945347ffff,0.0
89196945363ffff,0.0
8919694536fffff,0.0
89196945377ffff,0.0
8919694537bffff,0.0
89196945387ffff,0.0
8919694538bffff,5.7
891969453bbffff,0.0
891969453c7ffff,5.5
89196945627ffff,0.0
8919694566bffff,0.0
8919694566fffff,0.0
89196945a2bffff,0.0
89196945a2fffff,1.6
89196945b23ffff,1.3
89196945b2bffff,0.0
89196945b33ffff,0.0
89196945b67ffff,0.0
89196945b6fffff,0.0
89196945bafffff,0.0
89196945bcfffff,0.0
89196945bd7ffff,0.0
89196948003ffff,0.0
89196948007ffff,1.9
89196948023ffff,1.8
89196948027ffff,13.6
89196948033ffff,0.0
89196948037ffff,0.0
8919694803bffff,0.0
89196948043ffff,12.0
89196948047ffff,2.8
8919694804bffff,22.8
8919694804fffff,20.7
89196948053ffff,2.8
8919694805bffff,13.1
891969480cbffff,4.8
89196948113ffff,2.2
89196948117ffff,0.0
8919694811bffff,8.3
89196948153ffff,2.1
89196948157ffff,0.0
8919694815bffff,0.0
89196948167ffff,0.0
8919694818fffff,0.0
891969481a7ffff,3.1
891969481b3ffff,11.5
891969481b7ffff,12.5
891969481bbffff,0.0
891969481c7ffff,2.5
891969481cbffff,3.4000000000000004
891969481cfffff,7.3
89196948283ffff,12.5
89196948287ffff,6.6
8919694828bffff,4.9
89196948293ffff,18.5
89196948297ffff,20.8
8919694829bffff,23.8
891969482afffff,0.0
891969482b3ffff,2.8
891969482d3ffff,25.4
891969482d7ffff,8.6
891969482dbffff,2.6
89196948347ffff,2.3
89196948357ffff,4.2
89196948363ffff,2.7
8919694836bffff,0.0
8919694836fffff,0.0
8919694837bffff,0.0
891969483cfffff,2.1
89196948407ffff,0.0
89196948413ffff,3.2
89196948443ffff,0.0
8919694844bffff,21.9
8919694844fffff,0.0
8919694845bffff,0.0
89196948487ffff,0.0
8919694848bffff,0.0
89196948497ffff,4.800000000000001
891969484c3ffff,0.0
891969484d7ffff,0.0
8919694859bffff,0.0
89196948603ffff,27.4
89196948607ffff,19.3
8919694860bffff,17.8
8919694860fffff,22.5
89196948613ffff,5.5
89196948617ffff,6.7
8919694861bffff,20.900000000000002
89196948623ffff,15.7
89196948627ffff,19.5
8919694862bffff,10.4
8919694862fffff,22.1
89196948637ffff,8.8
8919694863bffff,17.0
89196948643ffff,13.6
89196948647ffff,19.0
8919694864bffff,12.7
8919694864fffff,15.4
89196948653ffff,21.3
89196948657ffff,20.4
8919694865bffff,4.0
89196948663ffff,18.2
89196948667ffff,10.3
8919694866bffff,17.0
8919694866fffff,18.7
89196948673ffff,14.7
89196948677ffff,18.599999999999998
8919694867bffff,15.0
89196948683ffff,21.9
89196948687ffff,16.9
8919694868bffff,6.5
8919694868fffff,7.0
89196948693ffff,19.6
89196948697ffff,19.4
8919694869bffff,23.0
891969486a3ffff,6.5
891969486abffff,6.8
891969486b3ffff,7.699999999999999
891969486bbffff,10.8
891969486c3ffff,15.799999999999999
891969486c7ffff,16.1
891969486cbffff,9.4
891969486cfffff,15.0
891969486d3ffff,15.6
891969486d7ffff,11.5
891969486dbffff,2.7
89196948803ffff,2.5
89196948813ffff,13.4
89196948817ffff,20.7
89196948843ffff,0.0
8919694884bffff,1.3
89196948853ffff,0.0
8919694885bffff,3.1
89196948883ffff,0.0
89196948887ffff,14.3
8919694888fffff,14.9
891969488a3ffff,15.0
891969488a7ffff,5.5
891969488afffff,5.6
891969488b3ffff,13.0
891969488b7ffff,12.3
891969488bbffff,28.2
891969488c7ffff,2.3
891969488cfffff,2.3
89196948907ffff,0.0
8919694890bffff,0.0
89196948947ffff,0.0
8919694894fffff,0.0
8919694898fffff,0.0
891969489a3ffff,0.0
891969489b7ffff,0.0
89196948a27ffff,0.0
89196948a2fffff,6.8
89196948a43ffff,0.0
89196948a4fffff,0.0
89196948a53ffff,0.0
89196948a87ffff,0.0
89196948ab3ffff,0.0
89196948b13ffff,0.0
89196948b43ffff,21.8
89196948b4bffff,12.5
89196948b53ffff,8.4
89196948b57ffff,0.0
89196948b5bffff,20.2
89196948b6bffff,1.7
89196948b6fffff,5.5
89196948b87ffff,0.0
89196948bb3ffff,0.0
89196948bc7ffff,0.0
89196948bcbffff,3.2
89196948bcfffff,5.1
89196948c0fffff,0.0
89196948c13ffff,0.0
89196948c1bffff,0.0
89196948c8fffff,0.0
89196948d0fffff,0.0
89196948d23ffff,0.0
89196948d27ffff,0.0
89196948d3bffff,0.0
89196948d43ffff,9.1
89196948d47ffff,13.4
89196948d4bffff,13.399999999999999
89196948d4fffff,14.1
89196948d73ffff,9.8
89196948d7bffff,4.1
89196948d83ffff,0.0
89196948d87ffff,0.0
89196948d97ffff,0.0
89196948d9bffff,0.0
89196948da3ffff,2.4
89196948da7ffff,0.0
89196948dabffff,0.0
89196948db7ffff,2.5
89196948dc3ffff,0.0
89196948dc7ffff,0.0
89196948ddbffff,0.0
89196948e07ffff,0.0
89196948e0fffff,0.0
89196948e2bffff,0.0
89196948e2fffff,0.0
89196948e3bffff,0.0
89196948e47ffff,0.0
89196948e4fffff,0.0
89196948e73ffff,0.0
89196948e77ffff,0.0
89196948e7bffff,0.0
89196949003ffff,17.3
89196949007ffff,14.2
8919694900bffff,16.2
8919694900fffff,20.5
89196949013ffff,3.1
8919694901bffff,5.5
89196949023ffff,18.8
89196949027ffff,7.699999999999999
8919694902bffff,14.7
8919694902fffff,11.4
89196949033ffff,11.7
89196949037ffff,16.4
8919694903bffff,19.9
89196949043ffff,21.8
89196949047ffff,21.9
8919694904bffff,5.5
8919694904fffff,2.1
89196949053ffff,5.8
89196949057ffff,13.2
8919694905bffff,23.2
89196949063ffff,2.5
8919694906fffff,5.6
89196949073ffff,20.3
89196949077ffff,15.0
8919694907bffff,5.2
89196949083ffff,19.0
89196949087ffff,10.7
8919694908bffff,11.2
8919694908fffff,19.7
89196949093ffff,8.3
89196949097ffff,17.099999999999998
8919694909bffff,3.0
891969490a3ffff,14.2
891969490a7ffff,13.0
891969490abffff,15.1
891969490afffff,14.5
891969490b3ffff,14.2
891969490b7ffff,13.6
891969490bbffff,19.3
891969490c3ffff,20.0
891969490c7ffff,4.4
891969490cbffff,18.2
891969490cfffff,19.900000000000002
891969490d3ffff,20.3
891969490d7ffff,14.4
891969490dbffff,19.6
89196949113ffff,0.0
89196949143ffff,0.0
8919694914bffff,12.2
8919694914fffff,5.6
89196949153ffff,6.5
89196949157ffff,1.5
8919694915bffff,4.5
89196949187ffff,1.2
8919694918bffff,1.6
8919694919bffff,5.5
891969491a3ffff,1.2
891969491a7ffff,4.6
891969491b3ffff,1.4
891969491bbffff,2.0
891969491c3ffff,5.1
891969491c7ffff,1.9
891969491cbffff,6.7
891969491d3ffff,17.5
891969491d7ffff,7.1
891969491dbffff,14.9
89196949243ffff,12.3
89196949247ffff,0.0
8919694924bffff,22.900000000000002
8919694924fffff,2.4
89196949253ffff,17.4
89196949257ffff,0.0
8919694925bffff,22.4
8919694926bffff,3.4
8919694926fffff,0.0
8919694927bffff,2.3
89196949297ffff,6.699999999999999
891969492c3ffff,3.8
891969492cbffff,7.1
891969492cfffff,4.7
891969492d3ffff,0.0
891969492dbffff,6.0
89196949303ffff,8.9
89196949307ffff,17.0
8919694930bffff,24.2
8919694930fffff,17.400000000000002
89196949313ffff,8.5
89196949317ffff,18.5
8919694931bffff,13.1
89196949323ffff,14.2
8919694932bffff,17.6
8919694932fffff,6.4
89196949333ffff,20.1
89196949337ffff,3.4000000000000004
8919694933bffff,19.3
89196949343ffff,10.4
89196949347ffff,23.0
8919694934bffff,4.6
8919694934fffff,7.8
89196949353ffff,7.4
89196949357ffff,27.3
8919694935bffff,2.3
89196949363ffff,19.9
89196949367ffff,17.1
8919694936bffff,20.8
8919694936fffff,11.9
89196949373ffff,18.9
89196949377ffff,1.6
8919694937bffff,16.9
89196949383ffff,9.1
89196949387ffff,25.9
8919694938bffff,17.5
8919694938fffff,19.2
89196949393ffff,0.0
89196949397ffff,6.5
8919694939bffff,8.8
891969493a3ffff,12.8
891969493abffff,21.3
891969493afffff,7.7
891969493b3ffff,28.9
891969493b7ffff,6.0
