hex9,value
8919694232bffff,0
89196942343ffff,100
89196942347ffff,0
89196942357ffff,0
8919694235bffff,90
89196942363ffff,0
8919694236fffff,0
89196942373ffff,410
8919694237bffff,80
8919694282bffff,0
8919694283bffff,100
89196942843ffff,0
89196942847ffff,90
8919694284bffff,80
8919694284fffff,250
89196942853ffff,100
89196942857ffff,0
8919694285bffff,0
8919694286bffff,90
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,70
891969429d7ffff,0
89196942a0bffff,100
89196942a13ffff,190
89196942a17ffff,170
89196942a1bffff,380
89196942a43ffff,360
89196942a47ffff,100
89196942a4bffff,200
89196942a53ffff,470
89196942a57ffff,630
89196942a83ffff,90
89196942a87ffff,90
89196942a8bffff,180
89196942a8fffff,0
89196942a97ffff,0
89196942abbffff,350
89196942ac3ffff,0
89196942acbffff,180
89196942acfffff,430
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,550
89196942b87ffff,380
89196942b8bffff,270
89196942b8fffff,0
89196942b93ffff,0
89196942b9bffff,90
89196942ba3ffff,0
89196942babffff,0
89196942bbbffff,100
89196942bc7ffff,80
89196942e0bffff,100
89196942e0fffff,100
89196942e2fffff,100
89196942e33ffff,0
89196942e43ffff,160
89196942e47ffff,170
89196942e4fffff,0
89196942e57ffff,100
89196942e73ffff,550
89196942e77ffff,270
89196943033ffff,190
89196943037ffff,0
8919694303bffff,170
89196943063ffff,0
89196943067ffff,100
8919694306fffff,0
89196943077ffff,100
891969430a3ffff,80
891969430afffff,0
891969430b7ffff,100
89196943103ffff,0
8919694316bffff,170
89196943173ffff,180
8919694317bffff,290
89196943183ffff,0
8919694318fffff,0
89196943193ffff,0
89196943197ffff,0
8919694320fffff,0
89196943233ffff,0
8919694323bffff,370
89196943243ffff,0
89196943247ffff,90
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,340
89196943327ffff,280
8919694332bffff,320
89196943337ffff,430
89196943363ffff,200
89196943367ffff,0
8919694337bffff,0
89196943387ffff,60
89196943393ffff,0
891969433a3ffff,330
891969433a7ffff,330
891969433afffff,270
891969433b7ffff,180
891969433c3ffff,0
891969433cfffff,80
891969433d7ffff,0
89196943513ffff,100
89196943517ffff,90
8919694351bffff,370
89196943543ffff,0
89196943547ffff,90
8919694354fffff,200
89196943557ffff,70
8919694367bffff,0
89196945043ffff,620
89196945047ffff,90
8919694504bffff,730
8919694504fffff,360
89196945053ffff,190
89196945057ffff,80
8919694505bffff,0
89196945063ffff,0
8919694507bffff,0
89196945143ffff,100
8919694514bffff,0
89196945153ffff,0
8919694518bffff,0
891969451c7ffff,0
891969451cfffff,0
89196945277ffff,0
89196945283ffff,480
89196945287ffff,720
8919694528bffff,0
89196945297ffff,180
8919694529bffff,280
891969452b3ffff,450
891969452d3ffff,100
891969452d7ffff,100
89196945303ffff,350
89196945307ffff,100
8919694530bffff,0
8919694530fffff,0
89196945313ffff,930
89196945317ffff,370
8919694531bffff,350
89196945347ffff,0
89196945363ffff,0
8919694536fffff,200
89196945377ffff,100
8919694537bffff,0
89196945387ffff,60
8919694538bffff,200
891969453bbffff,100
891969453c7ffff,280
