hex9,value
8919694232bffff,5
89196942343ffff,5
89196942347ffff,5
89196942357ffff,0
8919694235bffff,10
89196942363ffff,0
8919694236fffff,0
89196942373ffff,50
8919694237bffff,5
8919694282bffff,0
8919694283bffff,0
89196942843ffff,5
89196942847ffff,10
8919694284bffff,10
8919694284fffff,25
89196942853ffff,5
89196942857ffff,0
8919694285bffff,0
8919694286bffff,10
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,10
891969429d7ffff,0
89196942a0bffff,10
89196942a13ffff,20
89196942a17ffff,25
89196942a1bffff,55
89196942a43ffff,30
89196942a47ffff,10
89196942a4bffff,15
89196942a53ffff,130
89196942a57ffff,150
89196942a83ffff,5
89196942a87ffff,5
89196942a8bffff,20
89196942a8fffff,0
89196942a97ffff,0
89196942abbffff,20
89196942ac3ffff,0
89196942acbffff,20
89196942acfffff,195
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,80
89196942b87ffff,45
89196942b8bffff,15
89196942b8fffff,5
89196942b93ffff,0
89196942b9bffff,5
89196942ba3ffff,0
89196942babffff,0
89196942bbbffff,0
89196942bc7ffff,0
89196942e0bffff,10
89196942e0fffff,10
89196942e2fffff,10
89196942e33ffff,0
89196942e43ffff,10
89196942e47ffff,15
89196942e4fffff,0
89196942e57ffff,10
89196942e73ffff,65
89196942e77ffff,20
89196943033ffff,15
89196943037ffff,0
8919694303bffff,5
89196943063ffff,0
89196943067ffff,10
8919694306fffff,0
89196943077ffff,5
891969430a3ffff,0
891969430afffff,0
891969430b7ffff,10
89196943103ffff,0
8919694316bffff,30
89196943173ffff,15
8919694317bffff,25
89196943183ffff,0
8919694318fffff,0
89196943193ffff,5
89196943197ffff,0
8919694320fffff,0
89196943233ffff,0
8919694323bffff,25
89196943243ffff,0
89196943247ffff,0
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,30
89196943327ffff,30
8919694332bffff,40
89196943337ffff,60
89196943363ffff,10
89196943367ffff,0
8919694337bffff,0
89196943387ffff,5
89196943393ffff,0
891969433a3ffff,65
891969433a7ffff,50
891969433afffff,95
891969433b7ffff,40
891969433c3ffff,5
891969433cfffff,10
891969433d7ffff,0
89196943513ffff,0
89196943517ffff,10
8919694351bffff,35
89196943543ffff,0
89196943547ffff,0
8919694354fffff,10
89196943557ffff,5
8919694367bffff,0
89196945043ffff,135
89196945047ffff,10
8919694504bffff,125
8919694504fffff,65
89196945053ffff,20
89196945057ffff,10
8919694505bffff,0
89196945063ffff,0
8919694507bffff,0
89196945143ffff,5
8919694514bffff,5
89196945153ffff,0
8919694518bffff,0
891969451c7ffff,0
891969451cfffff,0
89196945277ffff,0
89196945283ffff,45
89196945287ffff,195
8919694528bffff,0
89196945297ffff,25
8919694529bffff,15
891969452b3ffff,60
891969452d3ffff,0
891969452d7ffff,5
89196945303ffff,90
89196945307ffff,5
8919694530bffff,0
8919694530fffff,0
89196945313ffff,340
89196945317ffff,55
8919694531bffff,65
89196945347ffff,0
89196945363ffff,0
8919694536fffff,5
89196945377ffff,5
8919694537bffff,0
89196945387ffff,5
8919694538bffff,30
891969453bbffff,0
891969453c7ffff,60
89196945627ffff,0
8919694566bffff,0
8919694566fffff,0
89196945a2bffff,0
89196945a2fffff,0
89196945b23ffff,0
89196945b2bffff,0
89196945b33ffff,0
89196945b67ffff,0
89196945b6fffff,10
89196945bafffff,5
89196945bcfffff,5
89196945bd7ffff,0
89196948003ffff,0
89196948007ffff,25
89196948023ffff,5
89196948027ffff,115
89196948033ffff,0
89196948037ffff,0
8919694803bffff,5
89196948043ffff,50
89196948047ffff,40
8919694804bffff,420
8919694804fffff,225
89196948053ffff,10
8919694805bffff,215
891969480cbffff,45
89196948113ffff,15
89196948117ffff,0
8919694811bffff,55
89196948153ffff,5
89196948157ffff,0
8919694815bffff,10
89196948167ffff,5
8919694818fffff,0
891969481a7ffff,65
891969481b3ffff,30
891969481b7ffff,190
891969481bbffff,15
891969481c7ffff,10
891969481cbffff,30
891969481cfffff,25
89196948283ffff,210
89196948287ffff,115
8919694828bffff,60
89196948293ffff,255
89196948297ffff,295
8919694829bffff,320
891969482afffff,0
891969482b3ffff,35
891969482d3ffff,230
891969482d7ffff,120
891969482dbffff,10
89196948347ffff,15
89196948357ffff,20
89196948363ffff,10
8919694836bffff,0
8919694836fffff,5
8919694837bffff,10
891969483cfffff,10
89196948407ffff,0
89196948413ffff,10
89196948443ffff,5
8919694844bffff,310
8919694844fffff,0
8919694845bffff,0
89196948487ffff,0
8919694848bffff,10
89196948497ffff,25
891969484c3ffff,0
891969484d7ffff,0
8919694859bffff,5
89196948603ffff,385
89196948607ffff,110
8919694860bffff,265
8919694860fffff,290
89196948613ffff,185
89196948617ffff,30
8919694861bffff,510
89196948623ffff,180
89196948627ffff,125
8919694862bffff,160
8919694862fffff,385
89196948637ffff,35
8919694863bffff,245
89196948643ffff,205
89196948647ffff,335
8919694864bffff,315
8919694864fffff,265
89196948653ffff,225
89196948657ffff,330
8919694865bffff,20
89196948663ffff,120
89196948667ffff,50
8919694866bffff,445
8919694866fffff,255
89196948673ffff,230
89196948677ffff,315
8919694867bffff,335
89196948683ffff,380
89196948687ffff,290
8919694868bffff,125
8919694868fffff,150
89196948693ffff,315
89196948697ffff,315
8919694869bffff,445
891969486a3ffff,65
891969486abffff,95
891969486b3ffff,110
891969486bbffff,140
891969486c3ffff,245
891969486c7ffff,405
891969486cbffff,175
891969486cfffff,300
891969486d3ffff,445
891969486d7ffff,535
891969486dbffff,75
89196948803ffff,25
89196948813ffff,155
89196948817ffff,235
89196948843ffff,10
8919694884bffff,15
89196948853ffff,5
8919694885bffff,25
89196948883ffff,0
89196948887ffff,160
8919694888fffff,200
